rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6527	175.0	16.531
2	SPI1	0.5934	175.0	17.120
3	BATF	0.5920	175.0	16.948
4	REST	0.5718	175.0	16.280
5	JUNB	0.5066	175.0	17.009
6	MAFK	0.5062	175.0	15.755
7	JUND	0.4238	175.0	17.690
8	IRF4	0.3939	175.0	17.600
9	BCL11A	0.3400	175.0	17.706
10	SIX5	0.2757	175.0	17.268
11	NFYA	0.2427	200.0	18.210
12	YY1	0.2364	175.0	17.936
13	ATF7	0.2296	175.0	16.763
14	ZNF24	0.2280	200.0	17.161
15	RUNX3	0.2213	175.0	17.362
16	ATF3	0.2205	175.0	17.990
17	ZNF274	0.2135	175.0	14.727
18	NRF1	0.2115	175.0	18.239
19	ETS1	0.2103	175.0	18.336
20	USF2	0.2070	175.0	18.168
21	GABPA	0.2040	175.0	17.779
22	USF1	0.1898	175.0	17.972
23	ELF1	0.1843	175.0	18.065
24	NFYB	0.1661	175.0	17.518
25	MEF2B	0.1596	100.0	17.398
26	ETV6	0.1538	175.0	18.241
27	IKZF1	0.1537	100.0	18.071
28	PAX8	0.1484	225.0	17.973
29	ZNF384	0.1481	175.0	17.492
30	NFIC	0.1421	100.0	17.807
31	NFATC3	0.1413	100.0	17.802
32	STAT5A	0.1383	100.0	18.271
33	ELK1	0.1218	175.0	18.249
34	NR2F1	0.1164	100.0	18.133
35	ZBED1	0.0992	175.0	18.431
36	ZBTB11	0.0927	200.0	18.106
37	IRF5	0.0875	200.0	18.356
38	CREM	0.0753	175.0	17.858
39	PBX3	0.0718	200.0	17.914
40	NR2C2	0.0585	175.0	17.987
41	RELA	0.0582	175.0	18.086
42	E2F8	0.0468	100.0	18.377
43	ESRRA	0.0447	100.0	18.327
44	RXRA	0.0398	225.0	18.023
45	CREB1	0.0325	175.0	17.807
46	ZBTB40	0.0324	200.0	16.926
47	ZNF143	0.0322	200.0	17.659
48	E4F1	0.0284	175.0	18.244
49	TCF3	0.0255	100.0	18.415
50	TCF12	0.0244	100.0	18.189
51	MYC	0.0213	100.0	18.959
52	RELB	0.0156	150.0	18.025
53	ATF2	0.0138	175.0	17.425
54	MEF2C	0.0130	225.0	17.504
55	ARNT	0.0112	100.0	18.322
56	TCF7	0.0096	200.0	17.307
57	ZZZ3	0.0060	100.0	21.681
58	FOS	0.0051	200.0	18.131
59	BACH1	0.0050	200.0	18.047
60	STAT1	-0.0043	100.0	18.649
61	SRF	-0.0081	175.0	16.928
62	BHLHE40	-0.0086	100.0	17.847
63	CUX1	-0.0120	250.0	17.895
64	ZEB1	-0.0162	100.0	18.653
65	NFATC1	-0.0166	100.0	17.565
66	MAX	-0.0182	175.0	18.702
67	EBF1	-0.0192	225.0	17.823
68	TBX21	-0.0225	100.0	17.351
69	SREBF2	-0.0258	200.0	18.462
70	SP1	-0.0263	225.0	18.421
71	POU2F2	-0.0273	200.0	17.773
72	MXI1	-0.0283	100.0	18.681
73	PKNOX1	-0.0291	100.0	17.604
74	EGR1	-0.0298	100.0	18.672
75	RFX5	-0.0373	175.0	17.839
76	FOXK2	-0.0410	100.0	17.924
77	STAT3	-0.0436	100.0	18.239
78	FOXM1	-0.0480	250.0	17.618
79	NR2C1	-0.0524	250.0	18.023
80	CEBPB	-0.0559	175.0	17.739
81	IRF3	-0.0576	250.0	18.415
82	MEF2A	-0.0617	100.0	17.336
83	MAZ	-0.0632	100.0	18.796
84	KLF5	-0.0692	100.0	18.638
85	YBX1	-0.0748	225.0	19.153
86	SMAD5	-0.0798	225.0	18.862
87	MYB	-0.0863	100.0	18.340
88	ZSCAN29	-0.0901	250.0	18.440
89	E2F4	-0.0902	175.0	18.466
90	TBP	-0.0996	250.0	18.298
91	SREBF1	-0.1010	250.0	18.251
92	HSF1	-0.1020	250.0	18.238
93	ZBTB33	-0.1100	225.0	17.932
94	PAX5	-0.1169	175.0	18.091
