rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6527	175.0	16.521
2	SPI1	0.5990	175.0	17.125
3	BATF	0.5784	175.0	16.930
4	REST	0.5564	175.0	16.297
5	JUNB	0.4648	175.0	16.992
6	MAFK	0.4323	175.0	15.808
7	JUND	0.3988	175.0	17.689
8	IRF4	0.3853	175.0	17.599
9	BCL11A	0.3331	175.0	17.699
10	ATF3	0.2809	175.0	17.944
11	NFYA	0.2692	200.0	18.269
12	GABPA	0.2431	175.0	17.765
13	NRF1	0.2389	175.0	18.169
14	RUNX3	0.2367	175.0	17.358
15	YY1	0.2198	175.0	17.943
16	ETS1	0.2121	175.0	18.355
17	ZNF384	0.2021	175.0	17.456
18	ELF1	0.1847	175.0	18.064
19	STAT5A	0.1818	100.0	18.284
20	SIX5	0.1756	175.0	17.251
21	USF2	0.1595	175.0	18.112
22	ETV6	0.1488	175.0	18.243
23	ZNF24	0.1405	200.0	17.200
24	EBF1	0.1404	225.0	17.778
25	ZZZ3	0.1326	200.0	17.717
26	NFYB	0.1322	200.0	17.440
27	MEF2B	0.1232	100.0	17.421
28	IKZF1	0.1200	100.0	18.077
29	NFIC	0.1197	100.0	17.809
30	ZNF274	0.1078	175.0	16.309
31	ZBED1	0.1026	175.0	18.492
32	ELK1	0.0972	175.0	18.275
33	NFATC3	0.0935	100.0	17.855
34	RXRA	0.0912	225.0	17.863
35	NR2F1	0.0877	100.0	18.166
36	PAX8	0.0839	225.0	18.126
37	ZBTB11	0.0790	175.0	18.124
38	ZBTB40	0.0781	200.0	16.920
39	NR2C2	0.0738	175.0	18.097
40	CREM	0.0705	175.0	17.872
41	USF1	0.0627	175.0	18.026
42	FOS	0.0579	175.0	18.024
43	CREB1	0.0545	175.0	17.811
44	YBX1	0.0501	225.0	18.841
45	ATF7	0.0496	175.0	16.812
46	ZNF143	0.0483	200.0	17.640
47	EGR1	0.0455	175.0	18.647
48	E2F8	0.0411	100.0	18.414
49	RFX5	0.0388	175.0	17.802
50	BACH1	0.0358	200.0	18.014
51	MXI1	0.0319	250.0	18.687
52	TCF7	0.0318	200.0	17.312
53	POU2F2	0.0261	200.0	17.770
54	PBX3	0.0252	175.0	17.850
55	NR2C1	0.0229	225.0	18.000
56	MYC	0.0218	100.0	18.949
57	MAX	0.0194	225.0	18.800
58	ATF2	0.0168	175.0	17.432
59	IRF5	0.0160	200.0	18.142
60	BHLHE40	0.0129	100.0	17.901
61	STAT1	0.0125	100.0	18.570
62	IRF3	0.0101	175.0	18.521
63	RELA	0.0087	175.0	18.081
64	SMAD5	0.0077	250.0	18.795
65	MEF2C	0.0052	225.0	17.481
66	SP1	0.0029	225.0	18.440
67	RELB	0.0001	150.0	17.952
68	ESRRA	-0.0002	100.0	18.395
69	ZBTB33	-0.0046	225.0	17.915
70	TCF3	-0.0053	100.0	18.452
71	E4F1	-0.0081	175.0	18.284
72	KLF5	-0.0094	225.0	18.661
73	NFATC1	-0.0109	200.0	17.579
74	CUX1	-0.0139	250.0	17.873
75	STAT3	-0.0229	250.0	18.221
76	SRF	-0.0244	100.0	16.951
77	SREBF1	-0.0359	225.0	18.226
78	TCF12	-0.0413	100.0	18.211
79	SREBF2	-0.0425	225.0	18.293
80	TBX21	-0.0474	100.0	17.367
81	TBP	-0.0495	250.0	18.294
82	E2F4	-0.0545	175.0	18.475
83	HSF1	-0.0560	225.0	18.227
84	ZEB1	-0.0571	100.0	18.696
85	MEF2A	-0.0639	250.0	17.338
86	MAZ	-0.0645	200.0	18.776
87	PKNOX1	-0.0663	100.0	17.600
88	CEBPB	-0.0670	200.0	17.705
89	FOXM1	-0.0728	100.0	17.665
90	MYB	-0.0780	100.0	18.280
91	ZSCAN29	-0.0847	250.0	18.424
92	ARNT	-0.0873	100.0	18.261
93	FOXK2	-0.1071	225.0	18.008
94	PAX5	-0.1208	175.0	18.096
