rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6521	175.0	16.540
2	SPI1	0.5791	175.0	17.115
3	BATF	0.5686	175.0	16.966
4	REST	0.5535	175.0	16.262
5	JUNB	0.5156	175.0	17.026
6	MAFK	0.4624	175.0	15.701
7	JUND	0.4138	175.0	17.691
8	IRF4	0.3845	175.0	17.600
9	SIX5	0.3811	175.0	17.286
10	BCL11A	0.3102	175.0	17.713
11	ZNF24	0.2984	175.0	17.124
12	ATF7	0.2767	175.0	16.724
13	ZBED1	0.2565	175.0	18.370
14	YY1	0.2424	175.0	17.928
15	NFYB	0.2237	175.0	17.593
16	USF1	0.2166	175.0	17.932
17	ETS1	0.1906	175.0	18.318
18	NRF1	0.1819	175.0	18.307
19	ZNF274	0.1803	175.0	13.510
20	RXRA	0.1787	225.0	18.175
21	RUNX3	0.1760	175.0	17.366
22	USF2	0.1712	175.0	18.196
23	ELF1	0.1697	175.0	18.066
24	GABPA	0.1658	175.0	17.792
25	IRF5	0.1570	200.0	18.593
26	IKZF1	0.1550	100.0	18.064
27	NFYA	0.1497	225.0	18.147
28	ETV6	0.1427	175.0	18.240
29	ELK1	0.1318	175.0	18.222
30	ATF3	0.1289	175.0	18.026
31	NFIC	0.1225	100.0	17.804
32	RELA	0.1218	175.0	18.090
33	MEF2B	0.1181	100.0	17.377
34	PAX8	0.1178	225.0	17.820
35	NR2F1	0.1073	100.0	18.101
36	ZBTB11	0.0945	200.0	18.089
37	SRF	0.0838	175.0	16.908
38	ZNF384	0.0724	175.0	17.528
39	NFATC3	0.0722	100.0	17.750
40	CREM	0.0702	175.0	17.845
41	E4F1	0.0697	175.0	18.206
42	FOS	0.0689	225.0	18.246
43	TCF7	0.0563	225.0	17.301
44	TCF12	0.0497	125.0	18.179
45	ZNF143	0.0488	225.0	17.678
46	ZBTB40	0.0454	175.0	16.932
47	PBX3	0.0451	200.0	17.978
48	IRF3	0.0442	250.0	18.318
49	MEF2C	0.0379	200.0	17.528
50	SREBF2	0.0362	225.0	18.610
51	STAT5A	0.0331	100.0	18.258
52	RELB	0.0302	175.0	18.098
53	E2F8	0.0146	100.0	18.341
54	NR2C2	0.0072	175.0	17.863
55	ZZZ3	0.0057	100.0	26.265
56	TCF3	0.0013	100.0	18.387
57	CREB1	0.0012	175.0	17.803
58	ATF2	-0.0056	175.0	17.419
59	ARNT	-0.0061	100.0	18.346
60	FOXM1	-0.0063	250.0	17.569
61	NR2C1	-0.0091	100.0	18.046
62	ZSCAN29	-0.0101	250.0	18.457
63	NFATC1	-0.0122	100.0	17.553
64	EGR1	-0.0142	100.0	18.698
65	MAX	-0.0151	175.0	18.657
66	ESRRA	-0.0161	125.0	18.253
67	KLF5	-0.0191	100.0	18.614
68	CEBPB	-0.0197	175.0	17.771
69	BACH1	-0.0309	200.0	18.080
70	ZBTB33	-0.0319	200.0	17.944
71	MXI1	-0.0362	100.0	18.677
72	ZEB1	-0.0382	150.0	18.608
73	MYC	-0.0389	225.0	18.966
74	FOXK2	-0.0393	100.0	17.835
75	CUX1	-0.0404	250.0	17.915
76	PKNOX1	-0.0409	100.0	17.609
77	STAT3	-0.0433	100.0	18.259
78	MAZ	-0.0445	100.0	18.816
79	SP1	-0.0500	225.0	18.402
80	MEF2A	-0.0500	250.0	17.333
81	SMAD5	-0.0518	225.0	18.914
82	TBX21	-0.0543	100.0	17.335
83	STAT1	-0.0557	225.0	18.728
84	POU2F2	-0.0641	225.0	17.777
85	EBF1	-0.0655	100.0	17.864
86	RFX5	-0.0704	100.0	17.874
87	E2F4	-0.0705	175.0	18.457
88	PAX5	-0.0775	175.0	18.086
89	BHLHE40	-0.0781	100.0	17.804
90	TBP	-0.0813	225.0	18.301
91	SREBF1	-0.0908	200.0	18.273
92	HSF1	-0.1098	175.0	18.250
93	YBX1	-0.1191	100.0	19.429
94	MYB	-0.1201	225.0	18.405
