rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6151	175.0	44.719
2	REST	0.4819	175.0	43.731
3	SPI1	0.4543	175.0	48.649
4	BATF	0.4042	175.0	48.953
5	MAFK	0.3580	175.0	44.504
6	JUNB	0.2809	175.0	49.595
7	ZNF274	0.2338	200.0	36.605
8	JUND	0.2024	175.0	52.041
9	IRF4	0.1884	175.0	51.478
10	IKZF1	0.1823	100.0	51.953
11	STAT5A	0.1737	100.0	55.734
12	NFATC3	0.1522	100.0	53.897
13	NFIC	0.1463	100.0	53.492
14	MEF2B	0.1441	100.0	51.601
15	NR2F1	0.1378	100.0	52.108
16	YY1	0.1186	175.0	51.690
17	E2F8	0.1070	100.0	53.141
18	BCL11A	0.1067	175.0	52.274
19	ESRRA	0.1055	100.0	53.113
20	ATF3	0.1037	175.0	50.817
21	GABPA	0.0971	175.0	51.130
22	PAX8	0.0967	250.0	54.087
23	NFYA	0.0938	200.0	51.754
24	NRF1	0.0904	200.0	51.926
25	RXRA	0.0863	225.0	51.726
26	ZBED1	0.0790	200.0	54.767
27	ETS1	0.0727	175.0	52.523
28	NFATC1	0.0688	100.0	53.091
29	USF2	0.0614	175.0	51.744
30	SIX5	0.0588	175.0	46.825
31	RUNX3	0.0580	175.0	49.845
32	MYC	0.0569	100.0	55.094
33	ELF1	0.0540	175.0	51.716
34	ZZZ3	0.0450	175.0	54.782
35	STAT1	0.0434	100.0	54.329
36	ZEB1	0.0419	100.0	53.162
37	ZBTB11	0.0394	175.0	51.039
38	USF1	0.0384	175.0	49.619
39	ARNT	0.0381	100.0	53.737
40	EGR1	0.0323	100.0	53.415
41	ELK1	0.0321	175.0	51.844
42	ATF7	0.0304	175.0	47.981
43	SREBF2	0.0237	225.0	53.265
44	RELB	0.0231	100.0	52.373
45	ZNF384	0.0209	175.0	51.594
46	TBX21	0.0185	100.0	50.642
47	NR2C1	0.0183	100.0	51.490
48	TCF3	0.0168	100.0	52.920
49	MXI1	0.0117	100.0	54.624
50	MAZ	0.0116	100.0	54.033
51	TCF12	0.0036	100.0	52.021
52	ETV6	0.0014	175.0	53.785
53	SRF	0.0002	100.0	48.686
54	KLF5	-0.0018	100.0	53.941
55	BHLHE40	-0.0028	100.0	50.210
56	IRF3	-0.0042	100.0	53.726
57	FOXK2	-0.0044	100.0	50.051
58	CUX1	-0.0067	100.0	55.302
59	EBF1	-0.0071	100.0	49.773
60	IRF5	-0.0183	200.0	53.407
61	MYB	-0.0198	100.0	54.750
62	PBX3	-0.0210	200.0	50.957
63	PKNOX1	-0.0213	100.0	50.496
64	NFYB	-0.0214	200.0	49.072
65	ZNF24	-0.0219	225.0	49.720
66	MEF2A	-0.0278	100.0	51.765
67	CEBPB	-0.0280	100.0	55.327
68	STAT3	-0.0281	100.0	56.420
69	ATF2	-0.0293	100.0	52.216
70	FOXM1	-0.0351	100.0	53.809
71	FOS	-0.0358	250.0	51.488
72	ZNF143	-0.0370	250.0	48.337
73	HSF1	-0.0415	100.0	52.785
74	MEF2C	-0.0416	250.0	52.567
75	E4F1	-0.0432	175.0	51.814
76	BACH1	-0.0462	200.0	53.116
77	ZSCAN29	-0.0476	100.0	54.148
78	TCF7	-0.0523	200.0	51.554
79	SREBF1	-0.0524	100.0	52.743
80	NR2C2	-0.0543	175.0	49.958
81	MAX	-0.0550	200.0	53.889
82	CREM	-0.0552	175.0	51.942
83	E2F4	-0.0610	100.0	53.415
84	SP1	-0.0668	250.0	52.191
85	CREB1	-0.0691	200.0	51.758
86	ZBTB40	-0.0714	225.0	49.715
87	RFX5	-0.0722	175.0	50.887
88	POU2F2	-0.0723	225.0	52.104
89	YBX1	-0.0755	100.0	58.557
90	TBP	-0.0800	100.0	57.075
91	SMAD5	-0.0902	100.0	56.663
92	RELA	-0.0947	200.0	53.011
93	ZBTB33	-0.1012	200.0	50.635
94	PAX5	-0.1178	100.0	51.564
