rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	REST	0.5836	175.0	40.754
2	SPI1	0.5203	175.0	46.712
3	MAFK	0.4740	175.0	42.630
4	BATF	0.4710	175.0	47.393
5	IRF4	0.3280	175.0	49.929
6	JUNB	0.3161	175.0	47.989
7	JUND	0.2881	175.0	50.151
8	NFYA	0.2817	200.0	49.476
9	ZNF274	0.2480	200.0	36.345
10	ELF1	0.1943	175.0	49.840
11	BCL11A	0.1930	175.0	50.236
12	SIX5	0.1891	175.0	44.055
13	YY1	0.1674	150.0	50.997
14	ELK1	0.1644	175.0	49.902
15	IKZF1	0.1643	100.0	50.077
16	GABPA	0.1544	175.0	49.605
17	NFIC	0.1425	100.0	51.778
18	STAT5A	0.1391	100.0	54.068
19	RXRA	0.1339	225.0	52.429
20	ESRRA	0.1255	100.0	51.451
21	ETS1	0.1185	175.0	50.378
22	RUNX3	0.1114	175.0	48.411
23	ATF3	0.1113	175.0	49.102
24	MEF2B	0.1027	100.0	49.869
25	USF1	0.0996	175.0	46.941
26	ZBTB11	0.0957	200.0	48.570
27	NR2F1	0.0893	100.0	49.820
28	NFATC3	0.0875	100.0	51.882
29	ETV6	0.0833	175.0	51.581
30	ZEB1	0.0807	100.0	52.099
31	E2F8	0.0764	100.0	51.299
32	NR2C2	0.0731	175.0	48.825
33	ATF7	0.0604	175.0	45.757
34	ZBTB40	0.0583	225.0	47.493
35	EBF1	0.0509	100.0	47.609
36	YBX1	0.0496	250.0	55.669
37	MAZ	0.0485	100.0	52.095
38	NFATC1	0.0447	100.0	51.794
39	BHLHE40	0.0415	100.0	47.931
40	STAT1	0.0377	100.0	53.475
41	ZBED1	0.0303	225.0	52.636
42	NRF1	0.0280	175.0	49.765
43	MYC	0.0279	100.0	52.993
44	TCF3	0.0267	100.0	50.988
45	BACH1	0.0237	200.0	50.938
46	E4F1	0.0216	175.0	49.793
47	EGR1	0.0203	175.0	50.856
48	TCF12	0.0158	100.0	50.448
49	PBX3	0.0128	225.0	48.887
50	ZNF384	0.0099	175.0	50.329
51	IRF3	0.0030	175.0	51.790
52	CEBPB	0.0004	100.0	53.767
53	SMAD5	-0.0008	250.0	53.161
54	ZNF24	-0.0011	225.0	47.945
55	ZBTB33	-0.0028	200.0	48.725
56	ZSCAN29	-0.0035	100.0	51.900
57	POU2F2	-0.0035	175.0	50.685
58	SRF	-0.0092	175.0	46.616
59	FOXM1	-0.0096	100.0	52.674
60	USF2	-0.0099	200.0	49.693
61	HSF1	-0.0130	100.0	50.809
62	ZZZ3	-0.0159	175.0	57.763
63	TBX21	-0.0160	100.0	48.793
64	IRF5	-0.0169	200.0	50.087
65	CREM	-0.0211	175.0	50.191
66	PKNOX1	-0.0216	100.0	48.600
67	PAX8	-0.0216	200.0	52.372
68	SREBF2	-0.0227	175.0	50.730
69	CUX1	-0.0251	100.0	53.197
70	TCF7	-0.0298	200.0	49.844
71	NR2C1	-0.0316	100.0	49.095
72	MXI1	-0.0339	100.0	52.904
73	E2F4	-0.0341	200.0	51.406
74	MEF2A	-0.0355	100.0	50.409
75	ATF2	-0.0360	100.0	50.732
76	MAX	-0.0366	250.0	52.168
77	RELB	-0.0369	100.0	49.911
78	FOXK2	-0.0373	100.0	47.623
79	ARNT	-0.0405	250.0	51.648
80	CREB1	-0.0430	200.0	50.269
81	KLF5	-0.0483	100.0	52.038
82	RELA	-0.0501	200.0	50.762
83	STAT3	-0.0504	100.0	54.711
84	MYB	-0.0514	100.0	52.739
85	FOS	-0.0531	175.0	49.003
86	MEF2C	-0.0550	200.0	51.123
87	SREBF1	-0.0641	100.0	51.040
88	RFX5	-0.0688	175.0	48.391
89	PAX5	-0.0706	175.0	49.200
90	SP1	-0.0715	225.0	50.304
91	TBP	-0.0848	100.0	55.157
92	NFYB	-0.1003	200.0	46.429
93	ZNF143	-0.1071	200.0	48.026
