rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6161	175.0	44.728
2	REST	0.4873	175.0	43.728
3	SPI1	0.4636	175.0	48.682
4	BATF	0.4139	175.0	48.957
5	MAFK	0.2961	175.0	44.755
6	JUNB	0.2349	175.0	49.584
7	IRF4	0.1860	175.0	51.416
8	STAT5A	0.1812	100.0	55.715
9	JUND	0.1749	175.0	51.882
10	IKZF1	0.1629	100.0	51.977
11	ATF3	0.1543	175.0	50.459
12	NFATC3	0.1532	100.0	54.066
13	NFIC	0.1405	100.0	53.471
14	NFYA	0.1215	200.0	51.874
15	ZNF274	0.1214	200.0	41.152
16	BCL11A	0.1209	175.0	52.272
17	ZZZ3	0.1186	200.0	47.955
18	NR2F1	0.1087	100.0	52.221
19	E2F8	0.1047	100.0	53.377
20	GABPA	0.1044	175.0	51.126
21	YY1	0.1009	175.0	51.743
22	USF2	0.1006	175.0	51.365
23	NRF1	0.0990	175.0	51.648
24	PAX8	0.0968	250.0	54.504
25	MEF2B	0.0953	100.0	51.732
26	STAT1	0.0690	100.0	53.883
27	ETS1	0.0679	175.0	52.485
28	MYC	0.0650	100.0	55.031
29	RXRA	0.0648	225.0	51.129
30	ELF1	0.0569	175.0	51.736
31	ESRRA	0.0562	100.0	53.238
32	MAX	0.0484	225.0	54.326
33	BHLHE40	0.0444	100.0	50.374
34	ZNF384	0.0360	175.0	51.478
35	TCF3	0.0311	100.0	52.803
36	EBF1	0.0220	250.0	49.609
37	RUNX3	0.0211	175.0	49.847
38	SREBF2	0.0192	225.0	53.081
39	ETV6	0.0145	175.0	53.796
40	TBX21	0.0129	100.0	50.735
41	NR2C1	0.0109	250.0	51.430
42	SRF	0.0098	100.0	48.834
43	ZEB1	0.0075	100.0	53.381
44	CUX1	0.0055	250.0	55.528
45	ZBTB11	0.0022	175.0	51.093
46	SMAD5	-0.0002	250.0	56.231
47	MAZ	-0.0033	100.0	53.897
48	ELK1	-0.0034	175.0	51.903
49	NR2C2	-0.0073	225.0	50.427
50	ZBED1	-0.0085	175.0	54.801
51	ZBTB33	-0.0155	225.0	49.701
52	SIX5	-0.0163	175.0	46.764
53	RELB	-0.0186	100.0	52.134
54	TCF7	-0.0195	200.0	51.528
55	MXI1	-0.0216	100.0	54.501
56	TCF12	-0.0231	100.0	51.817
57	CEBPB	-0.0237	100.0	55.217
58	MYB	-0.0245	100.0	54.682
59	ZNF24	-0.0255	250.0	49.817
60	FOS	-0.0264	200.0	51.036
61	EGR1	-0.0276	200.0	53.359
62	PKNOX1	-0.0293	100.0	50.539
63	RFX5	-0.0312	175.0	50.591
64	NFATC1	-0.0319	100.0	53.187
65	ARNT	-0.0322	100.0	53.975
66	KLF5	-0.0324	225.0	53.947
67	SP1	-0.0363	250.0	52.249
68	NFYB	-0.0371	225.0	48.745
69	ZBTB40	-0.0402	225.0	49.809
70	YBX1	-0.0403	225.0	57.480
71	POU2F2	-0.0407	200.0	52.046
72	CREB1	-0.0417	175.0	51.795
73	IRF3	-0.0420	100.0	54.533
74	ATF7	-0.0448	100.0	48.299
75	MEF2C	-0.0454	250.0	52.551
76	FOXM1	-0.0460	100.0	54.017
77	BACH1	-0.0463	200.0	53.118
78	CREM	-0.0472	175.0	52.050
79	ZSCAN29	-0.0476	250.0	53.934
80	MEF2A	-0.0497	250.0	51.771
81	HSF1	-0.0513	225.0	52.214
82	PBX3	-0.0520	175.0	50.707
83	ATF2	-0.0529	175.0	52.181
84	STAT3	-0.0539	100.0	56.107
85	TBP	-0.0599	100.0	57.098
86	SREBF1	-0.0643	100.0	52.681
87	FOXK2	-0.0700	100.0	50.202
88	USF1	-0.0703	175.0	49.684
89	E4F1	-0.0732	175.0	51.981
90	E2F4	-0.0822	100.0	53.602
91	IRF5	-0.0853	200.0	52.880
92	RELA	-0.1010	200.0	52.883
93	ZNF143	-0.1024	100.0	48.246
94	PAX5	-0.1471	250.0	51.684
