rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6133	175.0	44.710
2	SPI1	0.4353	175.0	48.618
3	REST	0.4313	175.0	43.734
4	BATF	0.3652	175.0	48.949
5	MAFK	0.3376	175.0	44.246
6	JUNB	0.3002	175.0	49.607
7	ZBED1	0.2450	225.0	54.733
8	JUND	0.2117	175.0	52.204
9	ZNF274	0.2112	175.0	33.107
10	RXRA	0.1992	225.0	52.296
11	IRF4	0.1820	175.0	51.540
12	IKZF1	0.1787	100.0	51.929
13	SIX5	0.1618	175.0	46.889
14	MEF2B	0.1551	100.0	51.474
15	NR2F1	0.1421	100.0	51.996
16	NFIC	0.1382	100.0	53.514
17	YY1	0.1324	175.0	51.636
18	PAX8	0.1183	225.0	53.673
19	NFYA	0.0991	225.0	51.624
20	NRF1	0.0929	200.0	52.197
21	STAT5A	0.0927	100.0	55.753
22	GABPA	0.0892	175.0	51.133
23	NFATC3	0.0875	100.0	53.730
24	ATF7	0.0863	175.0	47.730
25	E2F8	0.0832	100.0	52.912
26	ZBTB11	0.0798	200.0	50.987
27	BCL11A	0.0786	175.0	52.276
28	NFATC1	0.0720	100.0	52.998
29	ESRRA	0.0694	100.0	52.979
30	ETS1	0.0606	175.0	52.561
31	RUNX3	0.0560	175.0	49.843
32	ELK1	0.0554	175.0	51.784
33	ATF3	0.0484	175.0	51.092
34	ELF1	0.0412	175.0	51.697
35	ARNT	0.0403	100.0	53.644
36	ZNF24	0.0389	200.0	49.626
37	SREBF2	0.0369	200.0	53.426
38	USF1	0.0364	175.0	49.572
39	NR2C1	0.0349	100.0	51.549
40	NFYB	0.0315	200.0	49.390
41	ZNF143	0.0286	250.0	48.428
42	USF2	0.0279	175.0	51.934
43	IRF5	0.0277	200.0	53.990
44	EGR1	0.0230	100.0	53.472
45	RELB	0.0204	100.0	52.611
46	ATF2	0.0154	100.0	52.250
47	FOXK2	0.0107	100.0	49.892
48	TCF12	0.0107	100.0	52.111
49	MAZ	0.0106	100.0	54.175
50	KLF5	0.0096	100.0	53.934
51	ZEB1	0.0085	100.0	52.941
52	TBX21	0.0055	100.0	50.551
53	MXI1	0.0019	100.0	54.710
54	ZNF384	0.0016	200.0	51.714
55	PBX3	-0.0013	225.0	51.204
56	STAT1	-0.0032	100.0	54.784
57	ETV6	-0.0105	175.0	53.774
58	HSF1	-0.0133	100.0	53.374
59	TCF3	-0.0139	100.0	53.009
60	CUX1	-0.0143	100.0	55.097
61	FOS	-0.0145	225.0	51.972
62	ZZZ3	-0.0166	250.0	62.675
63	E4F1	-0.0182	175.0	51.653
64	IRF3	-0.0182	250.0	52.992
65	STAT3	-0.0187	100.0	56.756
66	MYC	-0.0207	250.0	55.140
67	PKNOX1	-0.0265	100.0	50.452
68	MEF2A	-0.0284	100.0	51.759
69	MEF2C	-0.0288	225.0	52.583
70	YBX1	-0.0290	100.0	59.512
71	EBF1	-0.0330	100.0	49.922
72	CEBPB	-0.0379	225.0	55.431
73	TCF7	-0.0394	200.0	51.580
74	ZBTB40	-0.0399	200.0	49.620
75	ZBTB33	-0.0412	200.0	51.321
76	FOXM1	-0.0440	250.0	53.598
77	SRF	-0.0450	150.0	48.552
78	BACH1	-0.0547	200.0	53.114
79	RELA	-0.0609	175.0	53.141
80	ZSCAN29	-0.0616	225.0	54.365
81	CREM	-0.0633	175.0	51.841
82	MAX	-0.0647	150.0	53.687
83	BHLHE40	-0.0670	100.0	50.080
84	RFX5	-0.0680	100.0	51.171
85	E2F4	-0.0705	100.0	53.231
86	CREB1	-0.0740	200.0	51.720
87	SREBF1	-0.0762	100.0	52.798
88	MYB	-0.0787	100.0	54.825
89	POU2F2	-0.0799	225.0	52.162
90	SMAD5	-0.0855	250.0	56.996
91	SP1	-0.0864	250.0	52.132
92	PAX5	-0.0932	100.0	51.445
93	NR2C2	-0.1042	100.0	49.433
94	TBP	-0.1196	225.0	57.051
