rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.6063	175.0	19.813
2	REST	0.4873	175.0	19.102
3	SPI1	0.4529	175.0	22.174
4	BATF	0.3792	175.0	22.685
5	MAFK	0.3640	175.0	20.567
6	ZNF274	0.2620	200.0	15.654
7	JUNB	0.2574	175.0	23.118
8	JUND	0.1913	175.0	23.978
9	IRF4	0.1892	175.0	23.767
10	IKZF1	0.1776	100.0	23.377
11	STAT5A	0.1557	100.0	26.015
12	NFIC	0.1438	100.0	25.112
13	NR2F1	0.1322	100.0	23.338
14	NFATC3	0.1297	100.0	25.250
15	YY1	0.1238	175.0	23.310
16	MEF2B	0.1222	100.0	24.077
17	ATF3	0.1122	175.0	22.488
18	GABPA	0.1104	175.0	23.076
19	ZBED1	0.1038	200.0	24.929
20	BCL11A	0.1014	175.0	24.208
21	ESRRA	0.1003	100.0	23.853
22	NRF1	0.0929	200.0	22.896
23	NFYA	0.0874	200.0	22.744
24	E2F8	0.0842	100.0	23.644
25	ELF1	0.0772	175.0	23.111
26	ETS1	0.0724	175.0	23.335
27	RUNX3	0.0721	175.0	22.805
28	ZZZ3	0.0684	175.0	23.431
29	RXRA	0.0615	225.0	23.022
30	ZBTB11	0.0580	175.0	22.484
31	SIX5	0.0536	175.0	20.307
32	SREBF2	0.0533	225.0	23.753
33	PAX8	0.0503	250.0	25.024
34	NFATC1	0.0457	100.0	25.091
35	USF2	0.0433	175.0	22.977
36	ELK1	0.0409	175.0	22.908
37	USF1	0.0367	175.0	21.602
38	ATF7	0.0307	175.0	21.987
39	MYC	0.0282	100.0	24.277
40	STAT1	0.0266	100.0	24.233
41	IRF3	0.0243	100.0	24.124
42	MAZ	0.0225	100.0	23.815
43	ZNF384	0.0207	200.0	23.880
44	NR2C1	0.0167	100.0	22.937
45	ETV6	0.0148	175.0	24.670
46	ZEB1	0.0146	100.0	23.415
47	TBX21	0.0119	100.0	23.392
48	ARNT	0.0118	100.0	24.304
49	MXI1	0.0100	100.0	24.459
50	TCF3	0.0084	100.0	23.666
51	SRF	0.0018	100.0	22.392
52	CUX1	0.0001	100.0	26.253
53	TCF12	-0.0046	100.0	23.303
54	BHLHE40	-0.0105	100.0	22.207
55	RELB	-0.0129	100.0	23.767
56	MYB	-0.0161	100.0	25.127
57	ZNF24	-0.0170	225.0	22.921
58	NFYB	-0.0195	200.0	21.736
59	FOXK2	-0.0196	100.0	22.015
60	KLF5	-0.0243	100.0	23.909
61	FOXM1	-0.0246	100.0	25.596
62	EGR1	-0.0256	100.0	23.493
63	E4F1	-0.0305	175.0	22.851
64	PKNOX1	-0.0305	100.0	22.853
65	STAT3	-0.0315	100.0	26.627
66	MEF2A	-0.0315	100.0	24.402
67	NR2C2	-0.0316	175.0	21.855
68	BACH1	-0.0318	200.0	24.247
69	FOS	-0.0327	250.0	22.714
70	IRF5	-0.0350	200.0	24.158
71	PBX3	-0.0370	200.0	22.721
72	ZBTB33	-0.0394	200.0	22.308
73	CEBPB	-0.0404	100.0	26.538
74	SREBF1	-0.0415	100.0	23.615
75	ATF2	-0.0418	100.0	24.580
76	EBF1	-0.0460	100.0	22.100
77	CREM	-0.0460	175.0	23.652
78	ZSCAN29	-0.0471	125.0	24.374
79	ZNF143	-0.0479	250.0	20.987
80	MEF2C	-0.0506	250.0	24.744
81	ZBTB40	-0.0512	200.0	23.119
82	MAX	-0.0529	225.0	23.859
83	TCF7	-0.0538	100.0	24.229
84	RFX5	-0.0554	175.0	22.780
85	HSF1	-0.0569	100.0	23.702
86	CREB1	-0.0668	200.0	23.607
87	SMAD5	-0.0699	100.0	25.788
88	RELA	-0.0711	200.0	24.315
89	YBX1	-0.0720	100.0	27.032
90	SP1	-0.0743	250.0	22.907
91	POU2F2	-0.0756	225.0	24.018
92	TBP	-0.0804	100.0	26.933
93	E2F4	-0.0856	100.0	23.718
94	PAX5	-0.1346	100.0	22.967
