rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5722	175.0	16.610
2	ATF3	0.3111	200.0	16.228
3	STAT1	0.2376	200.0	18.582
4	ZNF274	0.2278	175.0	10.757
5	USF2	0.1916	175.0	18.278
6	NR2C2	0.1864	225.0	17.980
7	MAFK	0.1844	200.0	17.806
8	MYB	0.1808	175.0	18.212
9	MEF2B	0.1804	200.0	17.170
10	STAT3	0.1645	225.0	18.031
11	MEF2A	0.1439	225.0	17.351
12	ZNF24	0.1364	225.0	17.249
13	PBX3	0.1342	200.0	17.959
14	RELB	0.1326	100.0	18.186
15	REST	0.1207	200.0	17.500
16	ZNF384	0.1085	175.0	17.557
17	USF1	0.1079	200.0	18.091
18	SREBF2	0.1042	200.0	18.004
19	IKZF1	0.1028	100.0	17.941
20	ETV6	0.0990	200.0	17.316
21	NFIC	0.0948	100.0	17.733
22	POU2F2	0.0925	200.0	17.186
23	CEBPB	0.0912	225.0	18.020
24	SREBF1	0.0904	200.0	17.742
25	IRF4	0.0892	175.0	17.713
26	ZSCAN29	0.0858	200.0	18.680
27	E2F8	0.0844	100.0	18.255
28	ZEB1	0.0793	250.0	18.655
29	ESRRA	0.0749	250.0	18.515
30	JUND	0.0727	200.0	17.800
31	MEF2C	0.0703	225.0	17.283
32	NFATC3	0.0694	100.0	18.174
33	CUX1	0.0630	200.0	17.825
34	NR2F1	0.0616	225.0	18.016
35	BATF	0.0558	150.0	17.120
36	IRF3	0.0502	175.0	16.260
37	ELK1	0.0474	175.0	18.260
38	RELA	0.0434	225.0	17.697
39	EBF1	0.0404	250.0	18.303
40	NFYA	0.0375	250.0	17.786
41	ARID3A	0.0329	225.0	17.148
42	ZBED1	0.0262	200.0	18.086
43	TBX21	0.0254	100.0	17.746
44	RXRA	0.0247	200.0	18.447
45	KLF5	0.0230	250.0	18.716
46	JUNB	0.0162	225.0	17.102
47	ATF7	0.0145	200.0	17.032
48	FOXK2	0.0113	175.0	18.155
49	E2F4	0.0099	225.0	18.189
50	PRDM15	0.0089	175.0	18.857
51	SP1	0.0057	250.0	18.418
52	TBP	0.0048	100.0	18.092
53	IRF5	0.0007	225.0	17.920
54	NR2C1	0.0002	250.0	18.194
55	ZBTB33	-0.0034	225.0	17.833
56	EGR1	-0.0037	225.0	18.567
57	NRF1	-0.0106	175.0	18.050
58	SRF	-0.0118	175.0	17.482
59	SMAD5	-0.0135	100.0	18.515
60	MYC	-0.0149	200.0	18.754
61	PKNOX1	-0.0164	100.0	17.913
62	ARNT	-0.0201	200.0	18.187
63	GABPA	-0.0239	100.0	17.705
64	CREB1	-0.0240	100.0	17.697
65	BACH1	-0.0260	225.0	18.180
66	TCF7	-0.0285	100.0	17.619
67	STAT5A	-0.0308	100.0	17.984
68	RUNX3	-0.0323	100.0	17.509
69	PAX5	-0.0371	250.0	18.141
70	HSF1	-0.0397	250.0	16.278
71	NFATC1	-0.0417	200.0	17.633
72	YY1	-0.0431	100.0	17.768
73	NFYB	-0.0500	100.0	17.803
74	ELF1	-0.0526	100.0	18.075
75	ETS1	-0.0549	100.0	18.325
76	MAX	-0.0553	225.0	18.519
77	ATF2	-0.0566	250.0	16.568
78	TCF3	-0.0676	250.0	18.255
79	MXI1	-0.0677	100.0	18.454
80	RFX5	-0.0737	250.0	18.388
81	FOS	-0.0742	250.0	16.934
82	MAZ	-0.0834	225.0	18.514
83	CREM	-0.0905	225.0	17.979
84	SPI1	-0.0941	100.0	17.584
85	TCF12	-0.0946	100.0	18.307
86	BHLHE40	-0.0953	250.0	18.125
