rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5691	175.0	16.643
2	ATF3	0.3036	200.0	16.228
3	STAT1	0.2580	200.0	18.790
4	ETV6	0.2506	225.0	17.512
5	ZNF274	0.2471	175.0	10.447
6	USF2	0.2003	200.0	18.275
7	NFYA	0.1907	250.0	17.600
8	BACH1	0.1803	175.0	18.115
9	STAT3	0.1634	225.0	17.807
10	MYB	0.1631	175.0	18.655
11	MEF2A	0.1619	225.0	17.397
12	SREBF1	0.1535	200.0	17.782
13	USF1	0.1306	200.0	18.178
14	MAFK	0.1299	225.0	17.833
15	ZNF24	0.1189	200.0	17.147
16	NR2C2	0.1163	200.0	18.064
17	PBX3	0.1059	200.0	17.983
18	FOXK2	0.0972	200.0	18.205
19	IRF4	0.0956	175.0	17.727
20	E2F4	0.0921	175.0	18.091
21	SRF	0.0907	175.0	17.637
22	ZEB1	0.0799	250.0	18.647
23	JUND	0.0761	225.0	17.839
24	NRF1	0.0756	175.0	18.041
25	RELB	0.0740	100.0	18.154
26	CEBPB	0.0696	225.0	18.116
27	MEF2C	0.0668	200.0	17.229
28	ESRRA	0.0661	225.0	18.515
29	ZSCAN29	0.0636	200.0	18.666
30	IKZF1	0.0634	100.0	17.933
31	CUX1	0.0630	200.0	17.709
32	RELA	0.0613	200.0	17.684
33	NFATC1	0.0600	200.0	17.782
34	IRF5	0.0592	225.0	18.049
35	ARNT	0.0546	200.0	18.213
36	NR2C1	0.0533	200.0	18.297
37	SREBF2	0.0460	200.0	18.391
38	BATF	0.0429	175.0	17.149
39	POU2F2	0.0424	200.0	17.083
40	ARID3A	0.0409	250.0	17.119
41	NR2F1	0.0394	225.0	18.156
42	ATF7	0.0386	200.0	17.008
43	ATF2	0.0371	200.0	16.731
44	IRF3	0.0316	225.0	17.876
45	NFIC	0.0262	100.0	17.734
46	TCF7	0.0145	200.0	17.630
47	EBF1	0.0086	250.0	18.286
48	NFATC3	0.0058	100.0	18.254
49	JUNB	0.0020	225.0	17.116
50	PAX5	-0.0015	250.0	18.143
51	E2F8	-0.0017	100.0	18.251
52	ZNF384	-0.0045	225.0	17.619
53	ZBTB33	-0.0078	250.0	17.873
54	SMAD5	-0.0132	175.0	18.545
55	TBX21	-0.0138	100.0	17.778
56	MAX	-0.0148	225.0	18.514
57	ELK1	-0.0175	225.0	18.354
58	ETS1	-0.0201	100.0	18.461
59	KLF5	-0.0235	225.0	18.513
60	YY1	-0.0299	150.0	17.712
61	MAZ	-0.0308	225.0	18.379
62	TBP	-0.0389	225.0	18.168
63	SPI1	-0.0390	200.0	17.539
64	ZBED1	-0.0410	225.0	18.157
65	RFX5	-0.0418	200.0	18.381
66	MEF2B	-0.0440	200.0	16.725
67	HSF1	-0.0460	175.0	16.119
68	EGR1	-0.0502	250.0	18.538
69	PRDM15	-0.0534	250.0	18.759
70	MXI1	-0.0552	250.0	18.464
71	TCF3	-0.0578	225.0	18.306
72	ELF1	-0.0594	100.0	18.131
73	PKNOX1	-0.0713	100.0	17.913
74	REST	-0.0749	225.0	17.382
75	CREM	-0.0755	225.0	17.977
76	GABPA	-0.0763	250.0	17.682
77	CREB1	-0.0792	100.0	17.690
78	NFYB	-0.0833	250.0	17.844
79	RUNX3	-0.0869	100.0	17.463
80	SP1	-0.0920	225.0	18.347
81	MYC	-0.0944	250.0	18.731
82	STAT5A	-0.1060	200.0	17.984
83	BHLHE40	-0.1100	225.0	18.132
84	TCF12	-0.1283	100.0	18.306
