rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5190	175.0	16.577
2	SREBF2	0.3151	175.0	17.762
3	ATF3	0.3036	200.0	16.228
4	USF2	0.2298	200.0	18.282
5	USF1	0.2218	200.0	18.003
6	NR2C2	0.1930	225.0	17.941
7	MEF2A	0.1882	200.0	17.305
8	MAFK	0.1617	225.0	17.779
9	STAT1	0.1481	225.0	18.331
10	REST	0.1460	200.0	17.632
11	ETV6	0.1437	200.0	17.111
12	ELK1	0.1433	200.0	18.169
13	POU2F2	0.1279	200.0	17.292
14	ZNF274	0.1208	175.0	12.001
15	ZNF24	0.1165	225.0	17.334
16	SP1	0.1119	225.0	18.486
17	ATF7	0.1061	200.0	17.058
18	EGR1	0.1017	225.0	18.597
19	SREBF1	0.0971	175.0	17.691
20	IKZF1	0.0921	100.0	17.949
21	HSF1	0.0913	250.0	16.570
22	BATF	0.0884	175.0	17.092
23	IRF3	0.0879	175.0	15.991
24	CEBPB	0.0863	225.0	17.930
25	SRF	0.0823	225.0	17.340
26	MEF2B	0.0792	225.0	17.615
27	MEF2C	0.0776	250.0	17.336
28	NR2F1	0.0773	250.0	17.857
29	NFATC1	0.0762	200.0	17.469
30	ZNF384	0.0757	175.0	17.488
31	MYB	0.0747	250.0	17.787
32	NRF1	0.0670	175.0	18.059
33	JUND	0.0654	200.0	17.761
34	NFYA	0.0638	200.0	18.021
35	ZBTB33	0.0564	225.0	17.794
36	CUX1	0.0549	225.0	17.936
37	RELB	0.0548	100.0	18.218
38	ARNT	0.0492	225.0	18.160
39	ZBED1	0.0486	175.0	18.018
40	NFIC	0.0414	100.0	17.733
41	KLF5	0.0403	225.0	18.939
42	STAT5A	0.0392	225.0	17.983
43	E2F4	0.0378	225.0	18.292
44	IRF4	0.0319	175.0	17.696
45	PBX3	0.0294	250.0	17.936
46	MYC	0.0293	200.0	18.778
47	JUNB	0.0279	225.0	17.086
48	NR2C1	0.0251	250.0	18.092
49	RXRA	0.0247	200.0	18.447
50	IRF5	0.0234	200.0	17.745
51	NFYB	0.0222	225.0	17.766
52	RELA	0.0140	200.0	17.710
53	ZEB1	0.0011	250.0	18.663
54	ESRRA	0.0007	200.0	18.514
55	PKNOX1	0.0002	100.0	17.913
56	EBF1	-0.0011	250.0	18.321
57	BACH1	-0.0025	250.0	18.231
58	NFATC3	-0.0085	100.0	18.098
59	ARID3A	-0.0106	250.0	17.181
60	ZSCAN29	-0.0138	175.0	18.692
61	RUNX3	-0.0167	100.0	17.555
62	E2F8	-0.0169	100.0	18.260
63	STAT3	-0.0176	225.0	18.304
64	TCF3	-0.0416	250.0	18.204
65	GABPA	-0.0471	100.0	17.728
66	TCF7	-0.0509	225.0	17.607
67	FOXK2	-0.0540	175.0	18.107
68	MAX	-0.0543	250.0	18.523
69	BHLHE40	-0.0609	250.0	18.119
70	TBP	-0.0611	100.0	18.013
71	ELF1	-0.0624	100.0	18.020
72	CREB1	-0.0627	100.0	17.704
73	TBX21	-0.0646	100.0	17.713
74	ATF2	-0.0663	250.0	16.403
75	SMAD5	-0.0690	100.0	18.483
76	FOS	-0.0742	250.0	16.934
77	MAZ	-0.0750	150.0	18.658
78	YY1	-0.0768	100.0	17.826
79	CREM	-0.0782	225.0	17.980
80	RFX5	-0.0882	200.0	18.394
81	SPI1	-0.0931	200.0	17.629
82	MXI1	-0.0984	100.0	18.444
83	PRDM15	-0.1038	175.0	18.938
84	PAX5	-0.1048	225.0	18.138
85	ETS1	-0.1052	250.0	18.190
86	TCF12	-0.1296	100.0	18.308
