rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.4837	175.0	43.904
2	ATF3	0.2848	175.0	50.030
3	USF2	0.2242	200.0	52.494
4	ZNF274	0.1918	175.0	24.445
5	MYB	0.1717	200.0	53.685
6	NR2C2	0.1712	200.0	51.123
7	MAFK	0.1565	225.0	51.774
8	RELB	0.1485	100.0	52.926
9	PBX3	0.1300	150.0	50.623
10	NFIC	0.1192	100.0	52.700
11	STAT1	0.1174	200.0	53.088
12	IKZF1	0.1072	100.0	52.070
13	STAT3	0.1039	250.0	55.286
14	E2F8	0.0991	100.0	52.770
15	STAT5A	0.0882	100.0	54.745
16	NFATC3	0.0859	100.0	53.185
17	SMAD5	0.0612	100.0	54.729
18	MEF2B	0.0590	225.0	51.680
19	ZNF24	0.0574	200.0	49.561
20	MEF2A	0.0569	225.0	52.483
21	PRDM15	0.0568	250.0	56.978
22	NFATC1	0.0556	100.0	53.872
23	ETV6	0.0497	225.0	50.075
24	ZBTB33	0.0464	250.0	51.173
25	KLF5	0.0415	250.0	54.078
26	TCF7	0.0409	100.0	53.266
27	EGR1	0.0393	200.0	52.521
28	SREBF1	0.0378	175.0	48.124
29	MYC	0.0359	100.0	54.242
30	NFYA	0.0349	250.0	49.897
31	TBX21	0.0324	100.0	51.959
32	MEF2C	0.0311	225.0	52.267
33	ETS1	0.0310	100.0	53.233
34	ZEB1	0.0293	250.0	53.171
35	CEBPB	0.0283	225.0	54.854
36	RXRA	0.0248	225.0	52.952
37	ARID3A	0.0217	250.0	53.501
38	REST	0.0205	200.0	48.943
39	TBP	0.0177	100.0	55.873
40	SREBF2	0.0165	225.0	51.559
41	SRF	0.0016	225.0	53.361
42	EBF1	-0.0005	250.0	51.999
43	ELK1	-0.0047	225.0	51.929
44	RELA	-0.0087	100.0	50.998
45	MXI1	-0.0106	100.0	54.264
46	IRF4	-0.0124	175.0	52.025
47	ZSCAN29	-0.0127	150.0	54.512
48	JUND	-0.0129	225.0	52.285
49	ATF7	-0.0145	200.0	49.362
50	JUNB	-0.0188	250.0	50.496
51	YY1	-0.0206	100.0	50.486
52	IRF5	-0.0209	175.0	51.885
53	BATF	-0.0214	150.0	49.873
54	ELF1	-0.0223	100.0	51.769
55	PKNOX1	-0.0225	100.0	51.541
56	NFYB	-0.0229	250.0	51.067
57	ARNT	-0.0244	200.0	53.218
58	RUNX3	-0.0263	100.0	50.052
59	NR2F1	-0.0282	250.0	51.685
60	NR2C1	-0.0283	250.0	51.886
61	ESRRA	-0.0308	250.0	53.827
62	SPI1	-0.0332	100.0	50.239
63	GABPA	-0.0350	100.0	51.982
64	ZBED1	-0.0380	200.0	54.903
65	IRF3	-0.0388	175.0	41.936
66	ZNF384	-0.0425	200.0	52.453
67	CREB1	-0.0429	100.0	51.117
68	SP1	-0.0456	250.0	51.529
69	PAX5	-0.0499	100.0	51.279
70	USF1	-0.0521	100.0	50.583
71	HSF1	-0.0535	200.0	47.785
72	E2F4	-0.0548	175.0	52.341
73	FOS	-0.0553	250.0	44.732
74	TCF12	-0.0624	100.0	52.867
75	CREM	-0.0668	100.0	51.721
76	ATF2	-0.0673	175.0	47.578
77	POU2F2	-0.0684	200.0	50.635
78	RFX5	-0.0716	175.0	53.040
79	MAX	-0.0763	100.0	52.667
80	NRF1	-0.0768	175.0	50.899
81	TCF3	-0.0777	250.0	51.689
82	CUX1	-0.0804	200.0	54.910
83	FOXK2	-0.0811	100.0	51.576
84	MAZ	-0.0972	100.0	52.027
85	BHLHE40	-0.1002	250.0	51.273
86	BACH1	-0.1022	100.0	53.914
