rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.4813	175.0	44.049
2	ATF3	0.2701	200.0	50.030
3	STAT1	0.2470	200.0	53.956
4	ZNF274	0.2174	175.0	23.876
5	USF2	0.2113	200.0	52.366
6	NFYA	0.1728	250.0	48.667
7	ZNF24	0.1569	200.0	49.313
8	MAFK	0.1367	225.0	52.411
9	ETV6	0.1338	225.0	50.330
10	RELB	0.1255	100.0	52.893
11	MYB	0.1199	175.0	55.337
12	IRF3	0.1125	250.0	46.715
13	STAT3	0.1071	225.0	54.261
14	IKZF1	0.1020	100.0	52.081
15	NR2C2	0.0990	225.0	50.901
16	MEF2A	0.0954	250.0	52.400
17	NFIC	0.0952	100.0	52.745
18	NFATC3	0.0686	100.0	53.403
19	CEBPB	0.0604	225.0	55.205
20	ETS1	0.0586	100.0	54.098
21	SRF	0.0538	200.0	54.330
22	BACH1	0.0500	175.0	53.272
23	ZBTB33	0.0499	250.0	50.810
24	ZNF384	0.0445	250.0	52.399
25	TBX21	0.0392	100.0	52.073
26	SREBF1	0.0317	200.0	48.864
27	ZEB1	0.0296	250.0	53.331
28	RELA	0.0275	175.0	50.995
29	E2F8	0.0260	100.0	52.636
30	IRF4	0.0220	175.0	51.465
31	FOXK2	0.0188	225.0	51.411
32	ARID3A	0.0181	250.0	53.311
33	JUND	0.0164	225.0	52.273
34	ZSCAN29	0.0137	175.0	54.789
35	NR2F1	0.0130	225.0	52.610
36	EGR1	0.0123	225.0	52.342
37	NFATC1	0.0072	225.0	54.000
38	RFX5	0.0048	250.0	52.224
39	SMAD5	0.0042	100.0	54.726
40	MEF2C	-0.0036	250.0	51.979
41	ESRRA	-0.0105	225.0	53.668
42	MYC	-0.0135	100.0	54.044
43	ATF2	-0.0149	225.0	47.763
44	ELF1	-0.0162	100.0	51.996
45	PRDM15	-0.0166	250.0	56.920
46	BATF	-0.0166	250.0	49.877
47	STAT5A	-0.0169	100.0	54.568
48	IRF5	-0.0171	225.0	51.508
49	JUNB	-0.0211	250.0	50.465
50	NR2C1	-0.0215	200.0	52.188
51	EBF1	-0.0224	250.0	51.981
52	KLF5	-0.0228	250.0	53.107
53	USF1	-0.0310	200.0	50.916
54	E2F4	-0.0331	225.0	51.946
55	CUX1	-0.0339	200.0	53.746
56	ATF7	-0.0343	200.0	49.443
57	PBX3	-0.0389	200.0	50.659
58	ARNT	-0.0407	200.0	53.523
59	MEF2B	-0.0407	100.0	49.420
60	NRF1	-0.0439	200.0	50.939
61	PKNOX1	-0.0440	100.0	51.668
62	PAX5	-0.0442	250.0	51.332
63	RUNX3	-0.0478	100.0	49.941
64	TCF7	-0.0479	100.0	53.327
65	YY1	-0.0489	100.0	50.298
66	ELK1	-0.0562	225.0	52.281
67	POU2F2	-0.0568	175.0	50.711
68	MXI1	-0.0584	100.0	54.276
69	MAX	-0.0649	225.0	52.564
70	NFYB	-0.0655	250.0	51.180
71	REST	-0.0669	225.0	48.388
72	GABPA	-0.0698	250.0	52.017
73	TBP	-0.0715	225.0	56.112
74	SREBF2	-0.0755	200.0	52.847
75	CREM	-0.0780	100.0	51.716
76	CREB1	-0.0790	100.0	51.144
77	TCF12	-0.0845	100.0	52.864
78	TCF3	-0.0868	250.0	51.895
79	ZBED1	-0.0869	225.0	54.949
80	MAZ	-0.0872	225.0	51.583
81	SPI1	-0.0997	200.0	50.020
82	BHLHE40	-0.1018	200.0	51.236
83	SP1	-0.1090	250.0	51.223
84	HSF1	-0.1257	200.0	46.385
