rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.4178	175.0	43.759
2	ATF3	0.2701	200.0	50.030
3	USF2	0.2246	200.0	52.629
4	SREBF2	0.1934	175.0	50.754
5	ZNF274	0.1828	175.0	26.722
6	ZNF24	0.1654	250.0	49.764
7	NR2C2	0.1626	200.0	51.225
8	ELK1	0.1155	200.0	51.589
9	RELB	0.1006	100.0	52.958
10	NFIC	0.0903	100.0	52.653
11	KLF5	0.0889	250.0	55.150
12	IKZF1	0.0850	100.0	52.059
13	MAFK	0.0848	200.0	51.136
14	REST	0.0832	200.0	49.564
15	MYB	0.0794	200.0	52.101
16	HSF1	0.0762	225.0	50.351
17	CEBPB	0.0690	225.0	54.526
18	E2F8	0.0622	100.0	52.897
19	ZBTB33	0.0517	225.0	51.527
20	EGR1	0.0512	200.0	52.706
21	MEF2C	0.0481	225.0	52.552
22	MEF2A	0.0450	225.0	52.564
23	NFATC3	0.0448	100.0	52.978
24	MEF2B	0.0421	225.0	53.941
25	MYC	0.0417	225.0	54.446
26	ETV6	0.0386	175.0	49.809
27	SP1	0.0355	250.0	51.819
28	NR2F1	0.0322	250.0	50.638
29	SREBF1	0.0316	175.0	47.200
30	SRF	0.0300	225.0	52.465
31	RXRA	0.0248	225.0	52.952
32	NFATC1	0.0243	200.0	53.732
33	TBP	0.0243	100.0	55.621
34	STAT1	0.0215	200.0	52.037
35	ZSCAN29	0.0168	175.0	54.267
36	ARNT	0.0090	200.0	52.914
37	IRF3	0.0053	175.0	41.140
38	NR2C1	0.0028	250.0	51.589
39	ATF7	0.0014	200.0	49.278
40	SMAD5	-0.0002	100.0	54.732
41	ZEB1	-0.0013	250.0	53.019
42	USF1	-0.0034	200.0	50.247
43	PRDM15	-0.0047	250.0	57.027
44	PKNOX1	-0.0126	100.0	51.415
45	NFYB	-0.0127	250.0	50.966
46	PBX3	-0.0136	150.0	50.588
47	STAT3	-0.0155	100.0	56.538
48	TCF7	-0.0166	100.0	53.198
49	RUNX3	-0.0214	100.0	50.164
50	FOXK2	-0.0215	100.0	51.736
51	NFYA	-0.0253	225.0	51.442
52	ESRRA	-0.0260	175.0	53.990
53	POU2F2	-0.0267	200.0	50.556
54	MXI1	-0.0270	100.0	54.253
55	BATF	-0.0291	175.0	49.869
56	JUNB	-0.0297	250.0	50.528
57	SPI1	-0.0353	100.0	50.457
58	EBF1	-0.0357	250.0	52.018
59	CREB1	-0.0369	100.0	51.091
60	ZBED1	-0.0371	200.0	54.860
61	E2F4	-0.0382	225.0	52.762
62	NRF1	-0.0387	175.0	50.860
63	TBX21	-0.0389	100.0	51.838
64	YY1	-0.0405	100.0	50.680
65	ARID3A	-0.0430	200.0	53.714
66	ELF1	-0.0438	100.0	51.546
67	RELA	-0.0511	225.0	51.002
68	MAZ	-0.0517	125.0	52.504
69	GABPA	-0.0535	100.0	51.946
70	IRF5	-0.0549	225.0	52.395
71	BACH1	-0.0552	225.0	54.420
72	FOS	-0.0553	250.0	44.732
73	TCF3	-0.0580	250.0	51.485
74	ATF2	-0.0595	100.0	47.389
75	JUND	-0.0597	250.0	52.298
76	STAT5A	-0.0613	100.0	54.921
77	CUX1	-0.0633	225.0	56.029
78	PAX5	-0.0728	100.0	51.225
79	RFX5	-0.0741	175.0	53.823
80	IRF4	-0.0749	150.0	52.666
81	CREM	-0.0771	100.0	51.726
82	BHLHE40	-0.0800	200.0	51.310
83	ZNF384	-0.0803	175.0	52.513
84	TCF12	-0.0846	100.0	52.870
85	MAX	-0.0853	100.0	52.774
86	ETS1	-0.1019	250.0	52.372
