rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.4764	175.0	19.029
2	ATF3	0.3091	175.0	23.862
3	USF2	0.2147	200.0	23.628
4	MYB	0.1781	200.0	24.362
5	MAFK	0.1657	225.0	23.601
6	NR2C2	0.1587	200.0	22.749
7	RELB	0.1494	100.0	23.952
8	NFIC	0.1248	100.0	24.573
9	ZNF274	0.1095	175.0	9.901
10	STAT1	0.0993	200.0	23.455
11	IKZF1	0.0967	100.0	23.713
12	SREBF1	0.0966	175.0	20.769
13	STAT5A	0.0830	100.0	25.587
14	EGR1	0.0785	200.0	22.924
15	STAT3	0.0767	250.0	26.167
16	NFATC3	0.0698	100.0	24.121
17	SREBF2	0.0694	225.0	22.793
18	NFATC1	0.0659	100.0	25.527
19	MEF2A	0.0591	250.0	24.885
20	ZNF24	0.0587	200.0	22.584
21	ZSCAN29	0.0571	175.0	24.370
22	PBX3	0.0512	225.0	22.253
23	MEF2B	0.0498	225.0	24.397
24	E2F8	0.0494	100.0	23.522
25	TCF7	0.0481	100.0	25.200
26	PRDM15	0.0458	250.0	25.723
27	KLF5	0.0457	250.0	23.998
28	ZBTB33	0.0405	250.0	22.853
29	ATF7	0.0367	200.0	22.714
30	TBX21	0.0346	100.0	23.887
31	SMAD5	0.0345	100.0	24.697
32	ETS1	0.0291	100.0	23.911
33	IRF5	0.0285	175.0	23.344
34	MEF2C	0.0281	225.0	24.725
35	ETV6	0.0261	225.0	22.832
36	ELK1	0.0255	225.0	22.968
37	ZEB1	0.0247	250.0	23.434
38	REST	0.0243	200.0	21.566
39	SRF	0.0194	250.0	25.117
40	ARID3A	0.0185	250.0	25.790
41	RXRA	0.0184	225.0	23.591
42	MYC	0.0168	200.0	23.917
43	RELA	0.0164	100.0	23.044
44	ARNT	0.0149	200.0	24.138
45	IRF3	0.0137	175.0	17.443
46	HSF1	0.0098	200.0	21.948
47	NFYA	0.0096	250.0	21.762
48	CEBPB	0.0090	200.0	25.918
49	TBP	0.0089	100.0	26.235
50	FOS	0.0087	175.0	18.697
51	ATF2	0.0015	175.0	21.955
52	EBF1	0.0002	250.0	23.160
53	RFX5	-0.0001	175.0	23.919
54	ELF1	-0.0059	100.0	23.130
55	JUND	-0.0061	225.0	24.151
56	IRF4	-0.0100	175.0	23.999
57	YY1	-0.0107	100.0	22.650
58	NFYB	-0.0118	250.0	22.892
59	MXI1	-0.0119	100.0	24.538
60	JUNB	-0.0136	250.0	23.697
61	ZBED1	-0.0144	200.0	25.548
62	BATF	-0.0147	100.0	23.164
63	ZNF384	-0.0198	200.0	24.466
64	SPI1	-0.0205	100.0	22.815
65	RUNX3	-0.0221	100.0	22.754
66	PKNOX1	-0.0271	100.0	23.226
67	E2F4	-0.0338	175.0	23.279
68	NR2C1	-0.0341	250.0	22.955
69	CREB1	-0.0352	100.0	23.236
70	POU2F2	-0.0405	225.0	23.594
71	ESRRA	-0.0431	250.0	24.076
72	NR2F1	-0.0445	250.0	23.116
73	PAX5	-0.0489	100.0	22.672
74	GABPA	-0.0507	100.0	23.863
75	SP1	-0.0508	250.0	22.375
76	FOXK2	-0.0535	225.0	22.913
77	USF1	-0.0544	250.0	22.182
78	BACH1	-0.0566	100.0	24.623
79	CUX1	-0.0653	150.0	26.087
80	CREM	-0.0677	100.0	23.289
81	TCF12	-0.0701	100.0	23.658
82	TCF3	-0.0745	250.0	22.754
83	BHLHE40	-0.0752	200.0	22.661
84	NRF1	-0.0788	125.0	22.370
85	MAX	-0.0801	125.0	23.177
86	MAZ	-0.0933	100.0	22.615
