rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	BATF	0.7355	180	17.327
2	ATF2	0.6694	190	14.931
3	CTCF	0.6482	180	16.673
4	SPI1	0.6419	180	17.358
5	MEF2A	0.6163	180	18.000
6	PAX5	0.6090	180	18.341
7	IRF4	0.5931	180	17.992
8	JUNB	0.5707	180	17.229
9	REST	0.5696	180	17.292
10	RUNX3	0.5587	180	17.706
11	YY1	0.5432	180	18.371
12	RXRA	0.5083	180	18.853
13	POU2F2	0.4779	180	18.528
14	FOS	0.4689	180	18.664
15	IRF3	0.4654	180	18.903
16	JUND	0.4547	180	18.260
17	SP1	0.4360	180	18.752
18	MAFK	0.4248	180	16.216
19	EGR1	0.4202	170	19.186
20	ETS1	0.4049	180	19.027
21	ZNF384	0.3878	180	17.735
22	NRF1	0.3631	180	18.876
23	NFIC	0.3621	180	17.749
24	ATF3	0.3597	180	18.398
25	MEF2C	0.3541	180	18.173
26	ELF1	0.3387	180	18.308
27	CREM	0.3300	180	18.298
28	SMAD5	0.3211	160	19.397
29	CREB1	0.2960	180	18.339
30	USF2	0.2780	170	18.602
31	PBX3	0.2689	180	18.142
32	GABPA	0.2439	180	17.965
33	STAT5A	0.2372	180	18.340
34	TCF3	0.2348	180	18.752
35	USF1	0.2248	170	18.332
36	MAZ	0.1759	180	19.154
37	TCF7	0.1696	180	17.705
38	NFYA	0.1676	210	18.752
39	ZNF274	0.1416	220	12.823
40	NFATC1	0.1348	170	17.443
41	TBX21	0.0988	190	17.582
42	ZSCAN29	0.0883	240	19.195
43	ZNF24	0.0833	180	17.784
44	MYB	0.0802	190	18.860
45	RFX5	0.0767	190	18.575
46	ARID3A	0.0727	100	18.347
47	ELK1	0.0715	190	19.066
48	CEBPB	0.0557	190	18.353
49	ZBTB33	0.0516	120	17.794
50	BHLHE40	0.0509	180	18.150
51	BACH1	0.0499	100	18.976
52	PRDM15	0.0474	220	19.524
53	NR2C2	0.0260	190	17.517
54	E2F4	0.0249	190	19.129
55	ZEB1	0.0233	200	19.143
56	IRF5	0.0157	100	18.829
57	IKZF1	0.0113	100	17.970
58	EBF1	0.0108	100	17.801
59	ATF7	0.0064	180	17.655
60	ZBED1	0.0045	190	18.669
61	NR2F1	0.0026	100	18.533
62	NFYB	-0.0089	200	17.349
63	KLF5	-0.0095	100	18.903
64	CUX1	-0.0177	100	18.511
65	SRF	-0.0190	100	17.670
66	ARNT	-0.0258	220	18.334
67	RELB	-0.0282	100	18.160
68	TCF12	-0.0365	200	18.226
69	PKNOX1	-0.0391	100	17.921
70	SREBF1	-0.0400	200	18.596
71	STAT3	-0.0446	190	18.469
72	MYC	-0.0510	250	19.812
73	SREBF2	-0.0566	210	18.785
74	HSF1	-0.0659	220	18.782
75	ETV6	-0.0703	110	15.889
76	MEF2B	-0.0798	100	18.004
77	NFATC3	-0.0832	210	18.128
78	MAX	-0.0853	170	19.322
79	FOXK2	-0.0922	190	18.499
80	RELA	-0.0943	210	18.816
81	ESRRA	-0.0958	200	18.941
82	TBP	-0.0959	200	18.914
83	E2F8	-0.0965	100	18.825
84	NR2C1	-0.1066	220	18.511
85	MXI1	-0.1206	100	19.233
86	STAT1	-0.1420	100	19.558
