rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5998	180.0	16.819
2	ATF3	0.3046	190.0	16.546
3	ZNF274	0.2949	170.0	10.556
4	STAT1	0.2542	200.0	19.494
5	ETV6	0.2361	220.0	18.024
6	MEF2A	0.2065	250.0	17.603
7	NFYA	0.2050	250.0	18.195
8	BACH1	0.1968	190.0	18.515
9	MYB	0.1877	190.0	19.268
10	STAT3	0.1874	220.0	18.234
11	USF2	0.1783	210.0	18.621
12	SREBF1	0.1624	200.0	18.258
13	E2F4	0.1553	190.0	18.969
14	MAFK	0.1522	220.0	18.249
15	USF1	0.1416	210.0	18.646
16	ARNT	0.1310	210.0	18.622
17	JUND	0.1288	210.0	18.152
18	SRF	0.1284	190.0	17.991
19	FOXK2	0.1192	190.0	18.772
20	CEBPB	0.1147	220.0	18.457
21	ZEB1	0.1113	250.0	19.230
22	PBX3	0.1100	210.0	18.435
23	ZNF24	0.1060	200.0	17.353
24	ATF2	0.0971	210.0	17.052
25	CUX1	0.0824	210.0	18.005
26	IRF5	0.0810	230.0	18.516
27	ESRRA	0.0787	220.0	19.233
28	SREBF2	0.0732	200.0	19.154
29	ZSCAN29	0.0725	210.0	19.428
30	ATF7	0.0717	210.0	17.360
31	NRF1	0.0696	170.0	18.802
32	MEF2C	0.0619	180.0	17.399
33	IRF4	0.0609	160.0	17.904
34	NR2C2	0.0604	220.0	18.546
35	NR2F1	0.0600	230.0	18.709
36	NR2C1	0.0546	220.0	18.863
37	NFATC1	0.0525	200.0	18.053
38	RELB	0.0520	100.0	18.643
39	TCF7	0.0509	230.0	17.921
40	RELA	0.0465	170.0	18.143
41	ARID3A	0.0446	220.0	17.360
42	NFIC	0.0379	100.0	18.083
43	BATF	0.0365	170.0	17.351
44	IKZF1	0.0344	100.0	18.337
45	RFX5	0.0342	210.0	19.020
46	POU2F2	0.0257	200.0	17.362
47	IRF3	0.0250	230.0	18.189
48	MAX	0.0166	220.0	19.183
49	JUNB	0.0164	220.0	17.330
50	ZBTB33	0.0163	250.0	18.416
51	ELK1	0.0130	220.0	18.986
52	NFATC3	0.0083	100.0	18.707
53	TBX21	0.0074	100.0	18.111
54	SPI1	0.0072	210.0	17.873
55	HSF1	0.0043	190.0	16.660
56	ZNF384	0.0010	210.0	17.854
57	ETS1	-0.0033	100.0	19.046
58	PAX5	-0.0062	250.0	18.611
59	EBF1	-0.0092	250.0	18.711
60	MEF2B	-0.0099	200.0	16.890
61	E2F8	-0.0100	100.0	19.017
62	SMAD5	-0.0109	200.0	19.283
63	MAZ	-0.0151	210.0	19.012
64	REST	-0.0209	200.0	17.783
65	KLF5	-0.0230	250.0	19.172
66	YY1	-0.0267	160.0	18.068
67	ZBED1	-0.0385	220.0	18.607
68	PRDM15	-0.0420	250.0	19.315
69	TBP	-0.0423	210.0	18.632
70	CREM	-0.0428	220.0	18.455
71	TCF3	-0.0464	220.0	18.839
72	NFYB	-0.0494	210.0	18.302
73	GABPA	-0.0584	210.0	18.144
74	MYC	-0.0754	250.0	19.656
75	EGR1	-0.0787	250.0	19.161
76	MXI1	-0.0799	250.0	19.079
77	STAT5A	-0.0814	170.0	18.463
78	RUNX3	-0.0868	250.0	17.820
79	ELF1	-0.0876	100.0	18.630
80	BHLHE40	-0.0917	250.0	18.653
81	SP1	-0.0919	230.0	18.944
82	CREB1	-0.0950	220.0	18.113
83	PKNOX1	-0.1034	100.0	18.367
84	TCF12	-0.1267	220.0	18.818
