rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5454	180.0	16.721
2	ATF3	0.3046	190.0	16.546
3	SREBF2	0.2220	170.0	18.741
4	REST	0.2197	210.0	18.048
5	NR2C2	0.2183	210.0	18.738
6	IRF3	0.2122	180.0	16.297
7	MAFK	0.2015	190.0	18.146
8	ZNF274	0.1837	170.0	12.067
9	USF2	0.1804	200.0	18.586
10	ELK1	0.1797	200.0	18.812
11	MEF2A	0.1786	200.0	17.511
12	ETV6	0.1702	200.0	17.797
13	USF1	0.1639	210.0	18.454
14	BATF	0.1575	190.0	17.313
15	STAT1	0.1565	210.0	19.163
16	ZNF384	0.1555	180.0	17.733
17	CEBPB	0.1421	220.0	18.229
18	CUX1	0.1393	210.0	18.130
19	ZNF24	0.1331	240.0	17.649
20	NFYA	0.1304	190.0	18.741
21	MEF2C	0.1299	230.0	17.598
22	NFATC1	0.1284	220.0	17.718
23	POU2F2	0.1198	200.0	17.524
24	EGR1	0.1183	220.0	19.216
25	MEF2B	0.1179	210.0	17.868
26	KLF5	0.1164	220.0	19.504
27	HSF1	0.1136	250.0	16.877
28	SP1	0.1089	230.0	19.085
29	ATF7	0.1078	210.0	17.390
30	RXRA	0.0896	200.0	19.549
31	SRF	0.0884	230.0	17.558
32	ARNT	0.0872	240.0	18.484
33	ZBTB33	0.0863	220.0	18.312
34	ZBED1	0.0843	180.0	18.385
35	MYB	0.0832	250.0	18.233
36	NRF1	0.0763	190.0	18.780
37	SREBF1	0.0748	180.0	17.972
38	IKZF1	0.0732	100.0	18.346
39	NR2F1	0.0639	250.0	18.359
40	JUND	0.0612	220.0	18.045
41	IRF4	0.0610	190.0	18.143
42	E2F4	0.0588	240.0	19.154
43	RELB	0.0583	100.0	18.691
44	RELA	0.0543	210.0	18.109
45	ESRRA	0.0528	220.0	19.149
46	STAT5A	0.0498	220.0	18.397
47	ZSCAN29	0.0479	220.0	19.315
48	MYC	0.0410	180.0	19.655
49	NFYB	0.0405	230.0	18.244
50	NFIC	0.0374	100.0	18.114
51	PBX3	0.0365	250.0	18.343
52	RFX5	0.0359	210.0	19.053
53	FOXK2	0.0330	170.0	18.663
54	JUNB	0.0301	220.0	17.307
55	BACH1	0.0263	240.0	18.733
56	STAT3	0.0250	220.0	18.704
57	NR2C1	0.0082	250.0	18.709
58	ARID3A	0.0013	250.0	17.396
59	ZEB1	-0.0031	250.0	19.289
60	EBF1	-0.0139	250.0	18.743
61	ATF2	-0.0168	230.0	16.684
62	IRF5	-0.0174	200.0	18.586
63	FOS	-0.0179	230.0	16.633
64	E2F8	-0.0198	100.0	18.977
65	TBP	-0.0208	100.0	18.466
66	PKNOX1	-0.0215	100.0	18.360
67	NFATC3	-0.0267	100.0	18.583
68	BHLHE40	-0.0341	250.0	18.631
69	RUNX3	-0.0361	100.0	17.903
70	MAX	-0.0388	250.0	19.179
71	TCF7	-0.0393	200.0	17.931
72	TCF3	-0.0404	250.0	18.734
73	SMAD5	-0.0427	220.0	19.204
74	CREM	-0.0453	220.0	18.457
75	MAZ	-0.0563	170.0	19.273
76	YY1	-0.0660	100.0	18.207
77	SPI1	-0.0726	140.0	17.926
78	GABPA	-0.0739	100.0	18.209
79	TBX21	-0.0760	100.0	18.038
80	CREB1	-0.0776	100.0	18.133
81	MXI1	-0.0808	100.0	19.032
82	ELF1	-0.0904	100.0	18.519
83	ETS1	-0.1028	240.0	18.795
84	PAX5	-0.1045	210.0	18.646
85	PRDM15	-0.1171	250.0	19.495
86	TCF12	-0.1259	220.0	18.819
