rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	BATF	0.6399	180	51.133
2	CTCF	0.6202	180	45.267
3	SPI1	0.5347	180	49.828
4	ATF2	0.4909	190	41.573
5	PAX5	0.4518	180	53.315
6	YY1	0.4482	180	53.216
7	IRF4	0.4292	180	53.299
8	REST	0.4096	180	49.035
9	RUNX3	0.3748	180	51.738
10	MEF2A	0.3675	180	54.441
11	RXRA	0.2856	190	55.942
12	JUNB	0.2840	180	51.521
13	FOS	0.2731	180	53.802
14	POU2F2	0.2647	180	55.047
15	ATF3	0.2572	180	52.360
16	MAFK	0.2302	170	46.411
17	SP1	0.2285	190	54.907
18	JUND	0.2269	190	54.738
19	ETS1	0.2195	180	56.794
20	NRF1	0.2032	190	54.818
21	EGR1	0.1766	170	56.185
22	IRF3	0.1762	190	54.924
23	ZNF384	0.1711	180	52.951
24	SMAD5	0.1708	160	59.543
25	ELF1	0.1409	180	53.878
26	CREM	0.1353	190	54.608
27	USF2	0.1328	180	54.171
28	CREB1	0.1301	190	54.344
29	MEF2C	0.1244	200	55.491
30	ZBTB33	0.1160	100	52.027
31	ZNF274	0.1059	210	30.394
32	USF1	0.0928	180	51.288
33	PBX3	0.0913	190	52.384
34	NFIC	0.0843	180	54.188
35	ARID3A	0.0770	100	56.426
36	BACH1	0.0754	100	57.060
37	NFYA	0.0531	240	54.518
38	GABPA	0.0419	190	54.046
39	EBF1	0.0326	100	51.725
40	STAT5A	0.0275	180	55.922
41	NR2F1	0.0240	100	54.555
42	ZBED1	0.0193	100	57.945
43	KLF5	0.0186	100	56.575
44	PRDM15	0.0186	220	61.881
45	IKZF1	0.0149	100	52.753
46	NR2C2	0.0109	170	46.980
47	SRF	0.0073	100	51.916
48	ZSCAN29	0.0070	250	58.282
49	CUX1	0.0044	100	58.065
50	TCF3	0.0038	180	55.061
51	MAZ	-0.0016	180	55.937
52	MYC	-0.0035	100	59.391
53	TCF7	-0.0048	210	54.294
54	RFX5	-0.0108	210	54.440
55	PKNOX1	-0.0123	100	52.426
56	CEBPB	-0.0186	210	54.414
57	RELB	-0.0193	100	54.288
58	IRF5	-0.0203	100	54.834
59	ETV6	-0.0222	100	42.706
60	STAT3	-0.0229	240	58.122
61	E2F8	-0.0284	100	56.798
62	ELK1	-0.0315	200	56.160
63	ZEB1	-0.0337	210	55.699
64	NFATC1	-0.0451	100	51.839
65	ZNF24	-0.0463	200	53.216
66	TBX21	-0.0486	190	52.353
67	E2F4	-0.0526	190	56.657
68	SREBF2	-0.0528	240	55.296
69	MXI1	-0.0556	100	58.122
70	MEF2B	-0.0558	100	52.983
71	MYB	-0.0594	210	57.521
72	ARNT	-0.0610	100	55.588
73	FOXK2	-0.0622	100	52.254
74	SREBF1	-0.0658	230	55.149
75	STAT1	-0.0742	100	58.051
76	ESRRA	-0.0750	100	56.392
77	ATF7	-0.0849	100	52.474
78	HSF1	-0.0874	250	55.615
79	BHLHE40	-0.0891	190	52.304
80	RELA	-0.0929	100	55.746
81	NFATC3	-0.0979	100	54.854
82	NFYB	-0.1031	230	49.269
83	TCF12	-0.1061	220	54.544
84	TBP	-0.1152	250	58.700
85	NR2C1	-0.1170	100	53.971
86	MAX	-0.1285	100	57.287
