rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	BATF	0.6657	180	49.519
2	BCL11A	0.6341	180	51.845
3	SPI1	0.5942	180	47.849
4	REST	0.4980	180	44.696
5	IRF4	0.4648	180	51.840
6	RUNX3	0.4308	180	50.081
7	MEF2A	0.4064	180	52.524
8	JUNB	0.3978	180	49.721
9	SMARCA5	0.3749	100	56.755
10	MAFK	0.3722	170	43.961
11	JUND	0.3510	180	52.383
12	PAX5	0.3471	180	51.648
13	FOS	0.3359	180	51.025
14	CREM	0.2766	180	52.515
15	SP1	0.2707	190	53.103
16	LARP7	0.2553	100	57.526
17	SIX5	0.2528	180	49.372
18	EP300	0.2413	180	52.000
19	ZNF274	0.1871	170	30.403
20	ZFP36	0.1842	180	46.440
21	HDAC2	0.1758	250	56.774
22	ETV6	0.1699	180	52.873
23	MEF2C	0.1657	190	53.332
24	RAD21	0.1634	200	52.886
25	SUPT20H	0.1624	210	46.036
26	ETS1	0.1603	180	54.473
27	CREB1	0.1603	190	52.293
28	BRCA1	0.1569	190	53.934
29	NFYA	0.1558	210	52.415
30	SUZ12	0.1435	200	39.167
31	NFXL1	0.1353	240	44.389
32	POLR2AphosphoS5	0.1315	100	52.570
33	EGR1	0.1309	190	53.612
34	NRF1	0.1305	180	52.892
35	NKRF	0.1276	210	57.675
36	NFIC	0.1268	180	51.853
37	POLR2AphosphoS2	0.1236	150	53.502
38	PML	0.1228	100	54.914
39	ATF2	0.1222	180	46.401
40	CHD4	0.1201	170	57.724
41	ZZZ3	0.1171	220	49.593
42	TCF12	0.1089	180	52.209
43	KAT2A	0.1050	210	58.188
44	TBL1XR1	0.1021	190	55.217
45	SMAD5	0.1016	140	56.608
46	ATF3	0.1007	180	50.987
47	NR2C2	0.0996	170	44.559
48	FOXM1	0.0952	190	53.317
49	BCLAF1	0.0897	190	54.970
50	HCFC1	0.0878	190	51.873
51	GABPA	0.0873	190	52.070
52	ELK1	0.0839	190	53.772
53	SREBF1	0.0815	200	53.185
54	TAF1	0.0796	160	56.583
55	POLR2A	0.0783	100	49.094
56	PBX3	0.0773	210	49.805
57	USF2	0.0767	180	51.963
58	ELF1	0.0762	190	51.795
59	CHD1	0.0726	100	62.651
60	RXRA	0.0704	210	55.796
61	EZH2	0.0695	210	45.313
62	CBX3	0.0670	180	42.150
63	PAX8	0.0632	100	57.557
64	ZNF217	0.0618	100	53.211
65	POU2F2	0.0617	190	53.410
66	HDGF	0.0563	100	55.579
67	ZNF622	0.0556	230	56.193
68	ZNF207	0.0547	100	56.924
69	GATAD2B	0.0536	100	54.402
70	ZBTB33	0.0534	100	51.225
71	STAT5A	0.0517	190	53.345
72	IRF5	0.0479	100	51.567
73	ZSCAN29	0.0443	210	56.223
74	NFATC1	0.0436	190	50.081
75	RFX5	0.0343	210	51.561
76	CEBPZ	0.0314	170	49.964
77	TBX21	0.0286	190	50.151
78	SRF	0.0285	190	50.054
79	RB1	0.0261	100	56.296
80	EED	0.0253	100	53.286
81	ZNF384	0.0244	180	51.672
82	USF1	0.0240	180	48.312
83	TCF7	0.0185	190	52.186
84	UBTF	0.0180	170	59.341
85	IKZF2	0.0151	100	51.071
86	EBF1	0.0111	100	49.881
87	HSF1	0.0097	100	53.852
88	MLLT1	0.0073	100	54.315
89	BCL3	0.0066	190	47.941
90	HDAC6	0.0043	150	52.936
91	YY1	0.0006	150	53.749
92	E2F4	0.0004	220	54.609
93	MTA3	-0.0018	190	55.092
94	IKZF1	-0.0025	100	50.346
95	STAT3	-0.0032	210	56.074
96	ARID3A	-0.0045	100	54.194
97	SMAD1	-0.0051	100	56.246
98	BHLHE40	-0.0052	190	50.111
99	KDM1A	-0.0062	100	57.446
100	SREBF2	-0.0079	210	52.574
101	MTA2	-0.0095	190	49.755
102	TCF3	-0.0110	100	52.468
103	ZEB1	-0.0159	250	53.543
104	MYC	-0.0160	100	56.955
105	ZBTB40	-0.0173	250	50.904
106	ASH2L	-0.0180	100	58.830
107	PRDM15	-0.0199	210	59.929
108	TRIM22	-0.0213	100	53.898
109	SMC3	-0.0239	240	57.137
110	CUX1	-0.0253	100	55.660
111	RELB	-0.0255	100	51.603
112	ZNF592	-0.0265	100	55.996
113	ZBED1	-0.0280	210	55.191
114	NBN	-0.0280	100	53.204
115	YBX1	-0.0283	100	56.411
116	SIN3A	-0.0292	100	55.904
117	ATF7	-0.0301	190	49.968
118	ZNF687	-0.0349	100	54.241
119	ESRRA	-0.0358	100	54.352
120	CEBPB	-0.0363	210	54.043
121	CHD2	-0.0363	210	53.943
122	ZNF24	-0.0373	230	51.017
123	RAD51	-0.0377	100	50.582
124	BACH1	-0.0388	190	54.382
125	MYB	-0.0399	200	55.350
126	WRNIP1	-0.0407	250	60.406
127	RBBP5	-0.0418	220	57.706
128	NR2F1	-0.0434	240	50.918
129	TARDBP	-0.0455	100	52.980
130	STAT1	-0.0481	220	55.460
131	PKNOX1	-0.0492	100	50.303
132	RCOR1	-0.0500	200	55.180
133	ARNT	-0.0502	100	53.127
134	KLF5	-0.0524	100	54.080
135	IRF3	-0.0532	190	53.321
136	CBFB	-0.0541	190	53.990
137	CBX5	-0.0543	230	50.011
138	RELA	-0.0592	210	53.715
139	ZBTB11	-0.0600	230	54.663
140	BMI1	-0.0654	200	51.088
141	SKIL	-0.0677	100	53.229
142	MEF2B	-0.0726	100	50.408
143	DPF2	-0.0746	210	51.815
144	NFATC3	-0.0759	180	52.163
145	NR2C1	-0.0788	250	51.249
146	MAX	-0.0847	100	55.047
147	ZBTB4	-0.0859	250	60.356
148	MXI1	-0.0888	100	55.755
149	E4F1	-0.0894	250	51.692
150	FOXK2	-0.0917	100	49.176
151	NFYB	-0.0934	220	46.102
152	TBP	-0.0943	210	56.364
153	E2F8	-0.0979	100	54.659
154	ZNF143	-0.1180	170	50.084
155	MAZ	-0.1241	200	54.338
