rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.5204	180.0	44.780
2	ATF3	0.2315	180.0	51.117
3	ZNF274	0.2080	170.0	24.108
4	STAT1	0.1770	220.0	57.779
5	NFYA	0.1692	250.0	51.464
6	MEF2A	0.1527	240.0	54.062
7	MAFK	0.1494	210.0	54.560
8	STAT3	0.1490	230.0	57.381
9	USF2	0.1456	210.0	53.919
10	MYB	0.1400	200.0	58.701
11	RELB	0.1137	100.0	55.460
12	SRF	0.1080	210.0	56.924
13	ZNF24	0.1024	200.0	50.508
14	ETV6	0.0887	220.0	53.267
15	FOXK2	0.0845	220.0	54.586
16	ATF2	0.0825	210.0	49.420
17	IRF3	0.0785	210.0	48.792
18	IKZF1	0.0729	100.0	54.268
19	SREBF1	0.0712	180.0	50.832
20	NFIC	0.0685	100.0	54.862
21	ZBTB33	0.0650	220.0	53.639
22	ESRRA	0.0631	230.0	57.417
23	JUND	0.0565	220.0	54.273
24	EGR1	0.0557	210.0	55.242
25	CEBPB	0.0544	210.0	57.676
26	ARID3A	0.0529	240.0	55.403
27	NFATC3	0.0511	100.0	55.881
28	ZEB1	0.0480	250.0	56.121
29	RELA	0.0479	170.0	53.511
30	NR2F1	0.0431	230.0	55.466
31	ZSCAN29	0.0423	170.0	58.323
32	E2F8	0.0406	100.0	56.549
33	ARNT	0.0402	200.0	55.872
34	NFATC1	0.0361	230.0	56.033
35	ETS1	0.0353	100.0	57.330
36	PRDM15	0.0350	240.0	60.104
37	TBX21	0.0344	100.0	54.026
38	SMAD5	0.0342	100.0	58.407
39	NR2C2	0.0295	240.0	53.368
40	IRF4	0.0269	170.0	52.963
41	ZNF384	0.0265	240.0	54.050
42	RFX5	0.0232	240.0	55.102
43	E2F4	0.0212	210.0	55.904
44	CUX1	0.0187	210.0	55.773
45	REST	0.0160	200.0	50.190
46	ATF7	0.0147	200.0	51.408
47	BACH1	0.0143	180.0	55.627
48	IRF5	0.0102	240.0	53.724
49	STAT5A	0.0101	110.0	57.603
50	SREBF2	0.0050	210.0	57.703
51	NR2C1	0.0038	210.0	54.884
52	MEF2C	0.0033	240.0	53.354
53	MAX	0.0022	200.0	55.761
54	HSF1	0.0017	110.0	48.745
55	TCF7	-0.0009	240.0	55.332
56	BATF	-0.0016	250.0	51.224
57	ELK1	-0.0021	220.0	55.454
58	KLF5	-0.0053	250.0	56.462
59	ZBED1	-0.0055	220.0	57.451
60	MEF2B	-0.0072	200.0	50.933
61	EBF1	-0.0132	250.0	54.158
62	PBX3	-0.0164	210.0	53.161
63	USF1	-0.0218	190.0	53.085
64	JUNB	-0.0228	240.0	51.851
65	POU2F2	-0.0273	180.0	52.567
66	PAX5	-0.0303	250.0	53.693
67	NRF1	-0.0319	210.0	54.264
68	GABPA	-0.0368	240.0	54.594
69	ELF1	-0.0391	100.0	54.513
70	NFYB	-0.0402	250.0	53.551
71	MAZ	-0.0448	210.0	54.502
72	SPI1	-0.0572	210.0	51.790
73	TBP	-0.0622	220.0	58.995
74	MYC	-0.0626	110.0	58.303
75	BHLHE40	-0.0640	210.0	53.783
76	YY1	-0.0643	220.0	52.157
77	MXI1	-0.0643	100.0	57.575
78	RUNX3	-0.0664	100.0	51.841
79	PKNOX1	-0.0691	100.0	54.093
80	TCF3	-0.0751	250.0	54.519
81	SP1	-0.0878	250.0	54.074
82	CREM	-0.0901	220.0	54.164
83	CREB1	-0.0965	100.0	53.390
84	TCF12	-0.1018	100.0	55.549
