rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	CTCF	0.4608	180.0	44.296
2	ATF3	0.2315	180.0	51.117
3	SREBF2	0.1902	180.0	55.149
4	ZNF274	0.1766	170.0	26.712
5	USF2	0.1760	200.0	54.000
6	ZNF24	0.1737	250.0	51.683
7	NR2C2	0.1631	230.0	55.029
8	MYB	0.1309	210.0	54.925
9	REST	0.1300	210.0	51.617
10	KLF5	0.1297	250.0	58.045
11	ELK1	0.1260	190.0	54.606
12	MEF2C	0.1156	240.0	54.528
13	IRF3	0.1117	190.0	42.353
14	MAFK	0.1109	200.0	53.053
15	ZBED1	0.1102	190.0	57.412
16	ETV6	0.0919	170.0	52.904
17	RELB	0.0853	100.0	55.471
18	ARNT	0.0852	220.0	54.898
19	ZBTB33	0.0848	220.0	54.437
20	NFATC1	0.0844	210.0	55.714
21	NFIC	0.0792	100.0	54.877
22	RXRA	0.0751	200.0	59.123
23	HSF1	0.0677	250.0	51.920
24	MEF2A	0.0666	230.0	54.256
25	CEBPB	0.0628	210.0	56.825
26	E2F8	0.0622	100.0	56.479
27	EGR1	0.0588	210.0	55.560
28	SRF	0.0532	220.0	54.219
29	IKZF1	0.0528	100.0	54.214
30	MEF2B	0.0502	220.0	55.919
31	RFX5	0.0460	180.0	57.030
32	SP1	0.0451	250.0	54.676
33	STAT1	0.0439	220.0	55.630
34	NFATC3	0.0405	100.0	55.563
35	ATF7	0.0397	200.0	51.219
36	PRDM15	0.0317	250.0	60.088
37	NFYA	0.0302	210.0	54.850
38	ZSCAN29	0.0271	190.0	57.298
39	MYC	0.0252	230.0	58.549
40	SMAD5	0.0233	100.0	58.394
41	BACH1	0.0219	240.0	56.971
42	ZEB1	0.0204	250.0	55.892
43	TBP	0.0166	100.0	58.482
44	JUND	0.0139	220.0	54.106
45	PBX3	0.0136	150.0	52.802
46	STAT3	0.0135	220.0	59.587
47	CUX1	0.0128	210.0	57.835
48	NR2F1	0.0100	250.0	53.126
49	USF1	0.0064	220.0	52.452
50	FOS	0.0028	180.0	43.863
51	RELA	0.0021	220.0	53.025
52	POU2F2	0.0015	210.0	52.174
53	ESRRA	-0.0003	170.0	57.256
54	FOXK2	-0.0027	100.0	54.945
55	SREBF1	-0.0040	170.0	48.695
56	BATF	-0.0044	180.0	51.302
57	NRF1	-0.0045	190.0	54.000
58	NR2C1	-0.0045	250.0	54.451
59	ATF2	-0.0099	220.0	48.826
60	ARID3A	-0.0130	190.0	55.201
61	SPI1	-0.0155	100.0	52.058
62	E2F4	-0.0156	250.0	56.662
63	NFYB	-0.0171	230.0	53.457
64	PKNOX1	-0.0182	100.0	53.799
65	MXI1	-0.0248	100.0	57.460
66	EBF1	-0.0269	250.0	54.178
67	TCF7	-0.0289	100.0	55.413
68	JUNB	-0.0330	240.0	51.944
69	ZNF384	-0.0365	180.0	54.209
70	RUNX3	-0.0385	100.0	52.024
71	IRF4	-0.0402	150.0	55.698
72	IRF5	-0.0411	250.0	56.858
73	YY1	-0.0434	100.0	52.641
74	STAT5A	-0.0483	120.0	57.660
75	MAZ	-0.0485	120.0	55.406
76	CREB1	-0.0519	100.0	53.432
77	TBX21	-0.0521	100.0	53.800
78	BHLHE40	-0.0535	220.0	53.813
79	MAX	-0.0543	250.0	55.927
80	TCF3	-0.0591	250.0	54.104
81	GABPA	-0.0668	100.0	54.622
82	ELF1	-0.0676	100.0	54.041
83	PAX5	-0.0768	100.0	53.690
84	ETS1	-0.0876	240.0	55.288
85	CREM	-0.0916	220.0	54.172
86	TCF12	-0.1016	100.0	55.551
