rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	BATF	0.6207	180.0	23.827
2	CTCF	0.6138	180.0	20.085
3	SPI1	0.5329	180.0	22.737
4	YY1	0.4481	180.0	23.848
5	ATF2	0.4357	190.0	19.256
6	PAX5	0.4276	180.0	23.950
7	IRF4	0.4192	180.0	24.569
8	REST	0.4027	180.0	21.826
9	RUNX3	0.3811	180.0	23.767
10	MEF2A	0.3439	180.0	25.443
11	ATF3	0.2631	180.0	23.055
12	JUNB	0.2614	180.0	24.275
13	POU2F2	0.2524	180.0	25.067
14	RXRA	0.2358	190.0	25.222
15	MAFK	0.2326	170.0	21.398
16	ETS1	0.2229	180.0	25.574
17	FOS	0.2222	180.0	23.582
18	JUND	0.2167	190.0	25.149
19	SP1	0.2160	190.0	24.513
20	SMAD5	0.1935	160.0	27.098
21	NRF1	0.1909	190.0	24.161
22	ZNF274	0.1581	170.0	12.652
23	EGR1	0.1571	170.0	24.820
24	ELF1	0.1534	180.0	24.384
25	ZNF384	0.1472	180.0	24.539
26	CREM	0.1409	190.0	25.059
27	CREB1	0.1346	190.0	24.760
28	IRF3	0.1323	190.0	24.160
29	MEF2C	0.1157	190.0	25.919
30	USF2	0.1079	180.0	24.179
31	ZBTB33	0.0878	100.0	23.618
32	NFIC	0.0848	180.0	25.656
33	ARID3A	0.0769	100.0	26.262
34	PBX3	0.0762	190.0	23.400
35	STAT5A	0.0750	180.0	25.928
36	USF1	0.0730	180.0	22.316
37	BACH1	0.0730	100.0	25.749
38	NR2C2	0.0573	170.0	20.046
39	PRDM15	0.0528	230.0	28.712
40	STAT3	0.0502	240.0	27.516
41	TCF7	0.0483	210.0	25.704
42	NFYA	0.0447	240.0	23.979
43	GABPA	0.0366	190.0	25.022
44	NR2F1	0.0355	100.0	24.603
45	EBF1	0.0311	100.0	23.573
46	IKZF1	0.0237	100.0	24.130
47	KLF5	0.0220	100.0	25.468
48	MAZ	0.0112	180.0	24.739
49	CUX1	0.0095	100.0	27.460
50	ZSCAN29	0.0068	250.0	26.374
51	SRF	0.0052	100.0	23.796
52	RFX5	0.0030	210.0	24.405
53	ZBED1	-0.0003	100.0	27.151
54	MYC	-0.0026	100.0	26.276
55	CEBPB	-0.0035	210.0	24.808
56	RELB	-0.0141	100.0	24.963
57	E2F8	-0.0158	100.0	25.776
58	TCF3	-0.0176	170.0	24.674
59	ETV6	-0.0179	100.0	18.955
60	NFATC1	-0.0195	190.0	24.149
61	PKNOX1	-0.0208	100.0	23.850
62	ELK1	-0.0218	200.0	25.008
63	SREBF2	-0.0271	220.0	24.665
64	ZNF24	-0.0309	200.0	24.650
65	ZEB1	-0.0416	210.0	24.553
66	IRF5	-0.0511	100.0	24.494
67	MYB	-0.0524	210.0	26.446
68	E2F4	-0.0530	200.0	25.205
69	MEF2B	-0.0543	100.0	24.220
70	TBX21	-0.0544	190.0	24.329
71	ARNT	-0.0545	100.0	25.684
72	SREBF1	-0.0548	230.0	24.895
73	MXI1	-0.0555	100.0	26.276
74	FOXK2	-0.0569	100.0	22.832
75	ESRRA	-0.0583	100.0	25.397
76	STAT1	-0.0665	100.0	25.686
77	HSF1	-0.0755	100.0	25.000
78	ATF7	-0.0795	100.0	24.273
79	BHLHE40	-0.0854	190.0	23.382
80	NFATC3	-0.0889	100.0	25.418
81	RELA	-0.0893	220.0	25.108
82	NFYB	-0.0896	230.0	21.986
83	TCF12	-0.1023	220.0	25.018
84	TBP	-0.1121	250.0	27.193
85	NR2C1	-0.1181	100.0	24.064
86	MAX	-0.1308	100.0	25.513
