rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	BATF	0.6441	180	23.162
2	BCL11A	0.6187	180	24.281
3	SPI1	0.5915	180	21.949
4	REST	0.4834	180	19.650
5	RUNX3	0.4513	180	23.210
6	IRF4	0.4463	180	24.156
7	JUNB	0.3678	180	23.471
8	MEF2A	0.3595	180	24.772
9	MAFK	0.3522	170	20.370
10	PAX5	0.3271	180	23.540
11	SMARCA5	0.3213	100	26.024
12	JUND	0.3025	180	24.413
13	CREM	0.2669	180	24.354
14	FOS	0.2556	180	22.361
15	SIX5	0.2427	190	21.743
16	SP1	0.2401	190	23.927
17	EP300	0.2282	180	24.352
18	ZNF274	0.1907	170	12.740
19	LARP7	0.1872	100	25.658
20	CREB1	0.1630	190	24.070
21	NFXL1	0.1543	240	19.441
22	ETS1	0.1494	180	24.682
23	HDAC2	0.1477	250	25.638
24	MEF2C	0.1464	190	25.161
25	ZFP36	0.1454	170	20.460
26	RAD21	0.1426	200	24.959
27	NFYA	0.1418	240	23.051
28	NRF1	0.1412	180	23.315
29	BRCA1	0.1390	180	23.904
30	ETV6	0.1371	180	24.646
31	SUPT20H	0.1357	210	19.476
32	NKRF	0.1351	210	25.995
33	EGR1	0.1285	190	23.794
34	CHD4	0.1216	170	26.655
35	POLR2AphosphoS2	0.1204	150	24.025
36	NFIC	0.1202	180	24.577
37	ZZZ3	0.1157	220	22.318
38	ATF2	0.1153	180	21.809
39	NR2C2	0.1108	170	18.974
40	PML	0.1108	100	25.638
41	POLR2AphosphoS5	0.1077	100	23.833
42	ATF3	0.1073	190	22.528
43	SUZ12	0.1058	200	15.706
44	SMAD5	0.1048	150	25.879
45	ZNF622	0.1024	180	25.184
46	TBL1XR1	0.0985	190	25.737
47	FOXM1	0.0922	190	25.322
48	KAT2A	0.0904	210	26.972
49	BCLAF1	0.0897	190	25.533
50	ELF1	0.0889	190	23.503
51	TCF12	0.0842	180	23.880
52	ELK1	0.0797	180	24.008
53	HDGF	0.0795	100	25.296
54	UBTF	0.0781	160	26.796
55	GABPA	0.0763	190	24.250
56	CBX3	0.0743	180	18.587
57	PBX3	0.0717	210	22.314
58	PAX8	0.0702	100	27.237
59	POLR2A	0.0694	100	21.582
60	ZSCAN29	0.0677	210	25.780
61	CHD1	0.0675	100	29.331
62	EZH2	0.0648	210	19.415
63	HCFC1	0.0641	180	22.893
64	GATAD2B	0.0628	100	24.634
65	SREBF1	0.0605	200	24.256
66	RXRA	0.0565	210	25.640
67	USF2	0.0564	180	23.342
68	ZNF217	0.0559	100	24.887
69	TAF1	0.0536	160	25.778
70	POU2F2	0.0486	190	24.618
71	ZBTB33	0.0454	100	23.441
72	ZNF207	0.0425	100	25.740
73	STAT5A	0.0365	190	24.880
74	IRF5	0.0350	100	23.023
75	RFX5	0.0316	210	23.204
76	CEBPZ	0.0315	170	22.066
77	NFATC1	0.0291	190	23.374
78	E2F4	0.0290	220	24.354
79	EED	0.0285	100	24.628
80	KDM1A	0.0276	180	26.303
81	HSF1	0.0260	100	24.435
82	USF1	0.0255	210	20.974
83	RB1	0.0240	100	25.370
84	TBX21	0.0212	190	23.444
85	HDAC6	0.0206	250	23.317
86	EBF1	0.0200	100	22.724
87	PRDM15	0.0186	210	28.109
88	IKZF2	0.0161	100	23.686
89	YY1	0.0157	150	24.514
90	SRF	0.0126	200	22.973
91	MLLT1	0.0122	100	25.096
92	SREBF2	0.0094	210	23.598
93	BCL3	0.0051	190	21.602
94	YBX1	0.0019	210	26.176
95	IKZF1	0.0015	100	23.237
96	BHLHE40	-0.0001	190	22.708
97	ZNF384	-0.0006	180	24.137
98	ZBTB40	-0.0011	240	23.349
99	STAT3	-0.0015	220	26.713
100	TCF7	-0.0029	200	24.785
101	MTA2	-0.0050	190	23.270
102	MTA3	-0.0056	200	25.933
103	ASH2L	-0.0077	250	27.375
104	SMC3	-0.0122	240	26.778
105	ZNF687	-0.0127	100	24.952
106	ARID3A	-0.0130	100	25.543
107	ZNF592	-0.0131	100	26.319
108	TCF3	-0.0151	100	23.656
109	SMAD1	-0.0166	100	26.324
110	IRF3	-0.0175	190	23.554
111	CUX1	-0.0178	100	26.502
112	ZEB1	-0.0215	250	23.702
113	MYC	-0.0230	110	25.249
114	TRIM22	-0.0259	100	25.103
115	RELB	-0.0268	100	23.943
116	STAT1	-0.0284	100	24.492
117	NFYB	-0.0286	220	20.597
118	MYB	-0.0287	200	25.747
119	SIN3A	-0.0289	100	24.985
120	RBBP5	-0.0292	220	26.962
121	RAD51	-0.0298	100	23.319
122	BACH1	-0.0300	190	24.895
123	WRNIP1	-0.0301	240	28.018
124	ATF7	-0.0303	200	23.277
125	CHD2	-0.0312	210	24.605
126	CEBPB	-0.0332	210	25.708
127	ZNF24	-0.0367	230	23.860
128	NBN	-0.0378	100	24.512
129	NR2F1	-0.0381	190	23.204
130	NFATC3	-0.0381	180	24.377
131	ZBED1	-0.0421	200	26.035
132	ARNT	-0.0428	100	24.780
133	TARDBP	-0.0437	100	24.373
134	ESRRA	-0.0438	100	24.769
135	RELA	-0.0455	210	24.892
136	CBX5	-0.0466	230	23.435
137	ZBTB11	-0.0480	210	24.730
138	KLF5	-0.0487	100	24.546
139	ZBTB4	-0.0487	120	28.348
140	CBFB	-0.0552	200	24.964
141	RCOR1	-0.0568	200	25.508
142	PKNOX1	-0.0596	100	23.091
143	SKIL	-0.0643	100	24.912
144	DPF2	-0.0681	210	23.844
145	MAX	-0.0712	100	24.639
146	BMI1	-0.0726	190	23.869
147	MXI1	-0.0754	100	25.490
148	E4F1	-0.0755	250	22.719
149	MEF2B	-0.0758	100	23.249
150	FOXK2	-0.0819	200	21.511
151	NR2C1	-0.0838	230	23.034
152	TBP	-0.0863	210	26.345
153	E2F8	-0.0940	220	24.972
154	MAZ	-0.1071	200	24.275
155	ZNF143	-0.1144	170	22.235
