rank	TF	oscillation_score	dominant_period_bp	baseline_mean
1	SPI1	0.8093	180	0.987
2	BATF	0.7864	170	0.956
3	RUNX3	0.7813	170	0.961
4	REST	0.7502	190	1.035
5	ELF1	0.7448	180	0.934
6	JUNB	0.7254	170	0.929
7	IRF4	0.7247	170	0.942
8	BCL11A	0.7161	170	0.940
9	CREM	0.7137	170	0.929
10	NFIC	0.6876	170	0.929
11	JUND	0.6818	170	0.911
12	CREB1	0.6793	170	0.925
13	ZNF143	0.6768	180	0.954
14	SIX5	0.6603	170	0.925
15	ATF2	0.6551	180	0.914
16	MEF2A	0.6501	170	0.922
17	SP1	0.6475	170	0.920
18	BHLHE40	0.6435	180	0.961
19	EP300	0.6363	170	0.929
20	HCFC1	0.6353	180	0.898
21	ETS1	0.6314	170	0.907
22	TBX21	0.6313	170	0.930
23	FOXM1	0.6272	170	0.918
24	BCLAF1	0.6194	170	0.918
25	TBL1XR1	0.6053	170	0.916
26	ETV6	0.6018	170	0.958
27	ATF3	0.5996	170	0.939
28	PAX5	0.5925	170	0.961
29	GABPA	0.5770	180	0.906
30	MTA2	0.5750	170	0.924
31	NFATC3	0.5655	170	0.907
32	MAFK	0.5615	180	0.928
33	ATF7	0.5416	180	0.923
34	ELK1	0.5391	180	0.885
35	USF1	0.5281	180	1.040
36	ZFP36	0.5174	190	1.076
37	IRF3	0.5152	180	0.867
38	RCOR1	0.5038	180	0.913
39	CHD2	0.4744	170	0.912
40	MTA3	0.4643	170	0.935
41	DPF2	0.4637	170	0.930
42	SRF	0.4620	180	0.952
43	TCF7	0.4587	180	0.918
44	RAD51	0.4531	190	0.951
45	MXI1	0.4448	170	0.885
46	USF2	0.4431	180	0.950
47	FOS	0.4327	180	0.884
48	SKIL	0.4292	170	0.911
49	RELA	0.4207	170	0.935
50	MEF2B	0.4004	170	0.955
51	SREBF1	0.4002	180	0.888
52	MEF2C	0.3652	170	0.911
53	BRCA1	0.3633	180	0.858
54	BMI1	0.3599	170	0.915
55	E2F8	0.3589	180	0.872
56	CEBPB	0.3492	170	0.905
57	POLR2A	0.3439	170	1.027
58	YY1	0.3419	190	0.929
59	NRF1	0.3404	180	0.854
60	ZBED1	0.3270	170	0.923
61	MAZ	0.3251	180	0.906
62	RFX5	0.3237	170	0.902
63	SMAD5	0.3228	180	0.881
64	RELB	0.3180	170	0.920
65	EGR1	0.3140	170	0.922
66	POLR2AphosphoS2	0.3106	170	0.930
67	ZNF384	0.2985	180	0.913
68	TAF1	0.2841	170	0.867
69	NFATC1	0.2768	170	0.982
70	POU2F2	0.2691	170	0.933
71	TCF12	0.2564	170	0.952
72	IKZF1	0.2486	180	0.965
73	EBF1	0.2406	190	1.007
74	MAX	0.2326	180	0.905
75	CEBPZ	0.2236	210	0.900
76	NFYA	0.2217	190	0.853
77	CBFB	0.2184	170	0.925
78	KLF5	0.2137	190	0.888
79	ZNF24	0.2134	180	0.930
80	SREBF2	0.2109	180	0.859
81	TRIM22	0.2051	190	0.895
82	BACH1	0.2028	170	0.886
83	NKRF	0.2006	200	0.844
84	TBP	0.1890	190	0.875
85	PBX3	0.1880	180	0.996
86	RAD21	0.1821	180	0.964
87	RB1	0.1765	100	0.861
88	UBTF	0.1738	180	0.765
89	NR2C1	0.1628	170	0.918
90	IKZF2	0.1476	160	0.946
91	PKNOX1	0.1471	190	0.949
92	ZZZ3	0.1393	240	1.034
93	STAT5A	0.1381	170	0.954
94	ZSCAN29	0.1369	210	0.873
95	NFYB	0.1366	210	0.970
96	POLR2AphosphoS5	0.1342	170	0.946
97	ZEB1	0.1342	240	0.940
98	ARNT	0.1325	170	0.909
99	CHD1	0.1324	250	0.823
100	STAT3	0.1292	180	0.901
101	ZNF622	0.1261	230	0.847
102	HSF1	0.1259	210	0.903
103	PAX8	0.1206	250	0.836
104	CBX3	0.1201	220	1.001
105	SUPT20H	0.1184	220	0.863
106	GATAD2B	0.1183	220	0.916
107	RXRA	0.1077	200	0.924
108	EED	0.1019	170	0.975
109	PML	0.0987	180	0.892
110	MYB	0.0982	170	0.907
111	NR2F1	0.0982	190	0.953
112	BCL3	0.0922	230	1.038
113	SMARCA5	0.0912	100	0.910
114	TCF3	0.0870	190	0.976
115	ZNF687	0.0845	100	0.947
116	E4F1	0.0834	180	0.898
117	HDAC6	0.0767	210	0.836
118	ZNF207	0.0736	100	0.858
119	STAT1	0.0729	180	0.873
120	NBN	0.0704	180	0.912
121	E2F4	0.0678	170	0.847
122	LARP7	0.0652	160	0.874
123	EZH2	0.0646	220	0.845
124	ESRRA	0.0644	230	0.911
125	SMC3	0.0610	170	0.947
126	CUX1	0.0565	210	0.910
127	CHD4	0.0511	210	0.879
128	ZNF592	0.0479	210	0.924
129	ZNF217	0.0471	170	0.890
130	KAT2A	0.0466	210	0.882
131	ZBTB11	0.0424	170	0.885
132	SUZ12	0.0403	240	0.869
133	IRF5	0.0375	110	0.972
134	ASH2L	0.0305	250	0.848
135	SIN3A	0.0277	160	0.857
136	SMAD1	0.0248	200	0.888
137	ZBTB33	0.0213	230	0.904
138	ZBTB40	0.0178	180	0.903
139	MYC	0.0166	170	0.849
140	TARDBP	0.0138	180	0.911
141	KDM1A	0.0106	220	0.876
142	MLLT1	0.0080	190	0.899
143	NR2C2	0.0053	250	1.090
144	ZNF274	0.0002	250	0.943
145	PRDM15	-0.0025	220	0.895
146	HDAC2	-0.0075	250	0.889
147	HDGF	-0.0186	100	0.936
148	FOXK2	-0.0233	250	0.958
149	ARID3A	-0.0330	250	0.874
150	YBX1	-0.0420	230	0.941
151	CBX5	-0.0440	210	0.917
152	WRNIP1	-0.0458	250	0.881
153	ZBTB4	-0.0608	250	0.908
154	NFXL1	-0.1141	250	0.981
155	RBBP5	-0.1348	210	0.827
